file	filename	index	tank	plate	Project	column	row	line	diet	filename3	vast	filename5	Exp	date	well	overfeeding	cholesterol	glucose	VAST	Imaged	age	length	dorsal_area	lateral_area	tod	mc4r_nwt	mc4r_dich	qRNA	gene	bodyfat	pomca_nwt	pomca_dich	negr1_nwt	negr1_dich	irs1_nwt	irs1_dich	irs2a_nwt	irs2b_nwt	irs2_nwt	irs2_dich	batch	flag	new_flag	newpooled_tank	intlength	intdorsal_area	intlateral_area
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate05_IRS1_230310_A02	UF263	1	plate05	CD15	2	A	InsH2Bfabp	CD15	11dpf	VAST02	plate05	IRS1	230310	A02	1	0	0	2	1	11	3577.5161	911662	1233314.3	8.0500002				IRS1	0											1			1	-1.0088013	-1.174683	-.99620831
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate05_IRS1_230310_A03	UF271	1	plate05	CD15	3	A	InsH2Bfabp	CD15	11dpf	VAST02	plate05	IRS1	230310	A03	1	0	0	2	1	11								IRS1	0											1			1			
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_IRS1_230310_A04	UF025	1	plate01	CD15	4	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	IRS1	230310	A04	1	0	0	2	1	11	4568.9668	1397504.9	1882570.3	2.6833334			2	IRS1	1					1	1					1			1	.93547398	1.2056214	1.6433818
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_IRS1_230310_A07	UF049	1	plate01	CD15	7	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	IRS1	230310	A07	1	0	0	2	1	11	3880.4099	1024232.8	1340142.9	3.5166667			2							1	1					1			1	-.53492004	-.63437539	-.69617027
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_IRS1_230310_A01	UF001	1	plate01	CD15	1	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	IRS1	230310	A01	1	0	0	2	1	11	4083.2349	1348337.4	981854.25	1.9																1			1	-.14526901	.9593429	-1.4878968
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate03_IRS1_230310_A03	UF145	1	plate03	CD15	3	A	InsH2Bfabp	CD15	11dpf	VAST02	plate03	IRS1	230310	A03	1	0	0	2	1	11								IRS1	0											1			1			
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_IRS1_230310_A02	UF009	1	plate01	CD15	2	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	IRS1	230310	A02	1	0	0	2	1	11	4831.9937	1210883.8	1314003.9	2.2																1			1	1.5872236	.31763756	-.80210471
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate05_IRS1_230310_A01	UF255	1	plate05	CD15	1	A	InsH2Bfabp	CD15	11dpf	VAST02	plate05	IRS1	230310	A01	1	0	0	2	1	11								IRS1	0											1			1			
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate03_IRS1_230310_A04	UF153	1	plate03	CD15	4	A	InsH2Bfabp	CD15	11dpf	VAST02	plate03	IRS1	230310	A04	1	0	0	2	1	11								IRS1	0											1			1			
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate05_IRS1_230310_B05	UF288	1	plate05	CD15	5	B	InsH2Bfabp	CD15	11dpf	VAST02	plate05	IRS1	230310	B05	1	0	0	2	1	11	4502.4868	1188602.9	1606227.4	8.583333			1	IRS1	0					.061690908	0					1			1	.77096194	.15297315	.325661
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_IRS1_230310_A08	UF057	1	plate01	CD15	8	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	IRS1	230310	A08	1	0	0	2	1	11								IRS1	0											1			1			
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_IRS1_230310_A05	UF033	1	plate01	CD15	5	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	IRS1	230310	A05	1	0	0	2	1	11								IRS1	0											1			1			
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate05_IRS1_230310_B06	UF296	1	plate05	CD15	6	B	InsH2Bfabp	CD15	11dpf	VAST02	plate05	IRS1	230310	B06	1	0	0	2	1	11	4961.0386	1488123.8	1717183.3	9.0166664			2	IRS1	0					.99394685	1					1			1	1.9991447	1.5356671	.80210471
IRS1	InsH2Bfabp_CD15_11dpf_VAST02_plate01_IRS1_230310_A06	UF041	1	plate01	CD15	6	A	InsH2Bfabp	CD15	11dpf	VAST02	plate01	IRS1	230310	A06	1	0	0	2	1	11	4473.2515	1273090.9	1615468.8	3.4833333			1	IRS1	1					0	0					1			1	.72065043	.56148332	.35797137
