filename	tod	date	plate	batch	tank	index	protein	ldl	gluc	tc	tg	freeze_dried	pos_bio	Löpnr	batch_bio	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	pomc_dich	qRNA	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intldl	inttg	inttc	intgluc	intldl_Res	inttg_Res	inttc_Res	intgluc_Res	intldl_Res1	inttg_Res1	inttc_Res1	intgluc_Res1	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_D08	2.5	211115	1	1	2	NT709		.0680592	.17441618	0	.0779416	0	10	10	1	4823	7931.2093	230	0	.02936012	.97063994	2	1	2	3870.1212	897665.41	0	0	1.259e+09	6145.2335	15551.281	3715.0568	1206367.8	0	0	1.345e+09	6565.4531	14755.986	3822.312	879631.35	0	0	1.245e+09	6080.7365	15524.893	3709.5906	1192191.8	0	0	1.317e+09	6431.3291	14613.48	11/30/2021 9:18	3870.1212	897665.41	1206367.8			ABs	CD15	pomc	1	0	0	1	1	8	-146.47692	-74526.921	-98285.46	-.20043621	-.39124491	-.18589119	-.25780673					-676.625	6.7916667	-26.286547	-.55302409	-.55302409	-1.253905	-1.4034126	-1.3249577	-1.4034126	-1.3385326	-1.8790258	-2.0952972	-1.1430639	-1.3385326	-1.4165091	-1.5041991	-.9836224					-.9836224	-.7226751
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_D09	2.5	211115	1	1	2	NT717	9.73987	.2382072	.38054438	.170148	.3117664	0	18	18	1	4074	1121.5309	15	0	.05188711	.94811291	2	1	1	3610.5349	816885.99	0	0	1.188e+09	5799.6924	15246.667	3462.8244	1040681.8	0	0	1.155e+09	5637.415	13506.374	3531.9574	795382.69	0	0	1.158e+09	5654.3424	15158.056	3463.4462	1058566.3	0	0	1.170e+09	5713.4518	13546.357	11/30/2021 9:18	3610.5349	816885.99	1040681.8	1	3	ABs	CD15	pomc	1	0	0	1	1	8	-406.06328	-41001.288	-113546.12	-.01578041	-.18333583	.01318205	-.07561415	-.00718439	-.13083064	.11810507	-.04815663	-1425.625	-208.20833	-6835.9649	-1.8682417	-1.8682417	-2.5021065	-.66480873	-2.5021065	-1.7145937	-.74242261	-1.2349007	-.86772998	.12109668	-.50372046	-.7226751	-.24400246	.30674675	-.47451159	-.59169618	-.08478486	.95844614	-1.5041991	-1.3385326
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_D10	2.5	211115	1	1	2	NT725	9.846538	.3743256	.3012643	.3062664	.5455912	0	26	26	1	4874	814.30431	0	1	.99963725	.00036278	2	1	1	3799.0497	922308.96	0	0	1.234e+09	6024.3115	14946.963	3630.2698	1207803.3	0	0	1.189e+09	5805.6017	13076.174	3816.4549	925030.52	0	0	1.229e+09	6000.2372	14878.331	3672.5008	1202898.6	0	0	1.185e+09	5787.535	13101.76	11/30/2021 9:18	3799.0497	922308.96	1207803.3	1	3	ABs	CD15	pomc	1	0	0	1	1	8	-217.54839	-18588.087	-55665.347	.13484579	.02457325	-.073153	.07254883	.12713345	.02684162	.03821974	.08441553	-625.625	-223.20833	-7143.1916	-.82846465	-.82846465	-.96742157	-.28221615	-1.253905	-.74414274	-.04531602	-.66504127	-.27523912	-.41970798	.43625655	.12109668	.9836224	-.18220521	.76219112	.18739448	1.3541903	.32756149	-.84593257	-.60953682
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_E07	2.5	211115	1	1	2	NT702		.0680592	.19027219	.0340296	.0779416	0	3	3	1	6316	10617.575	324	0	.00773724	.99226272	2	3	3	4085.7748	1031560.1	0	0	1.485e+09	7249.9999	16912.852	3893.9382	1430642.1	0	0	1.565e+09	7640.4674	15751.739	4086.3421	1037810.7	0	0	1.497e+09	7310.1515	17006.084	3877.5327	1432885.1	0	0	1.581e+09	7719.5336	15840.126	11/30/2021 9:18	4085.7748	1031560.1	1430642.1			ABs	CD15	pomc	1	0	0	1	1	8	69.176697	-35592.183	1021.6474	-.17910094	-.36856866	-.16386208	-.26834573					816.375	100.79167	2660.0787	.25015286	.25015286	-.06193162	-.48224821	.15535278	.15535278	-1.3385326	-1.8790258	-1.4165091	-1.0338532	-1.4165091	-1.2031568	-1.3385326	-.80349836					.50372046	.60953682
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_E08	2.5	211115	1	1	2	NT710	11.55323	.3743256	0	.4083552	.6235328	0	11	11	1	3907	653.11787	0	1	.96029168	.03970833	2	1	1	3861.592	888663.33	0	0	1.183e+09	5777.2392	14839.555	3739.7814	1187915	0	0	1.190e+09	5809.6819	13354.967	3932.2746	914443.36	0	0	1.201e+09	5862.3591	14871.37	3733.5385	1188902	0	0	1.199e+09	5854.8398	13415.951	11/30/2021 9:18	3861.592	888663.33	1187915	1	3	ABs	CD15	pomc	1	0	0	1	1	8	-155.00614	-79773.281	-111795.7	.20973246	.15110682	-.36118924	.04996524	.19075228	.14677479	-.32333681	.0296592	-1592.625	-223.20833	-7304.378	-.62668735	-.62668735	-1.4034126	-1.5932188	-1.491606	-1.5932188	-.04531602	-.53831232	.41970798	-2.5107296	.21300213	.53831232	1.8790258	-2.5107296	.36352035	.85619145	2.0481986	-1.82788	-1.8790258	-1.5041991
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_F07	2.5	211115	1	1	2	NT703	20.62002	.5444736	1.014785	.340296	.9352992	0	4	4	1	6329	7728.0952	221	0	.00575572	.99424428	2	1	2	4033.5878	1151876.8	1	10	1.665e+09	8128.902	17707.877	4032.7869	1548566.3	0	0	1.694e+09	8270.8864	16210.606	4031.4184	1154179.7	1	10	1.659e+09	8101.1122	17669.992	4031.6707	1538367.9	0	0	1.677e+09	8189.8691	16173.572	11/30/2021 9:18	4033.5878	1151876.8	1548566.3	0	1	ABs	CD15	pomc	1	0	0	1	1	8	16.989646	107704.39	149187.25	.12897894	.48554948	.65976888	.20957424	-.07676772	.04093892	.39687036	-.09209369	829.375	-2.2083333	-229.40065	.09297185	.09297185	.82846465	1.491606	1.0180757	1.7145937	.88994769	.37072365	-.03020493	2.0952972	1.1430639	1.605273	.93575841	2.0952972	-.95844614	.36352035	-1.0718581	2.0481986	.57356078	.7226751
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_F08	2.5	211115	1	1	2	NT711	13.25992	.3743256	.44396845	.340296	.779416	0	12	12	1	6017	10404.964	342	0	.00726872	.99273127	2	3	3	3833.1998	981495.36	0	0	1.433e+09	6997.261	16695.829	3599.6383	1251976.3	0	0	1.386e+09	6766.4287	14962.982	3726.7274	960889.28	0	0	1.365e+09	6662.7018	16257.323	3615.7744	1249942.6	0	0	1.377e+09	6724.6762	14939.825	11/30/2021 9:18	3833.1998	981495.36	1251976.3	1	3	ABs	CD15	pomc	1	0	0	1	1	8	-183.39837	25560.852	-31281.663	.14348674	.30375056	.08189734	.05147082	.08530409	.20362226	.06600191	-.025319	517.375	118.79167	2447.4678	-.70392179	-.70392179	-.41381125	.5894558	-.96742157	-.34726125	-.04531602	-.07557273	-.03020493	.41970798	.27523912	1.0338532	1.1430639	.57356078	-.22198659	.95844614	1.0135222	.55180628	.21300213	.50372046
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_F09	2.5	211115	1	1	2	NT719	15.92662	.3743256	.14270414	.170148	.5455912	0	20	20	1	5477	9435.6089	321	0	.0044333	.99556667	2	2	2	4268.9926	1109498.3	0	0	1.603e+09	7826.2538	17420.171	4015.8651	1476131	0	0	1.651e+09	8062.0827	16072.549	4306.4384	1136325.1	0	0	1.618e+09	7900.4815	17404.051	3967.3925	1477506.7	0	0	1.657e+09	8089.4716	16097.299	11/30/2021 9:18	4268.9926	1109498.3	1476131	1	3	ABs	CD15	pomc	1	0	0	1	1	8	252.39443	-38331.2	-59660.667	-.01215346	.04401004	-.22642194	.06351539	-.14282922	-.24168719	-.318343	-.11131164	-22.625	97.791667	1478.113	1.0714868	1.0714868	.51731215	-.5894558	.41381125	-.91913552	-.04531602	-.66504127	-.86772998	-1.3764748	.33856194	.18220521	-.18220521	-1.1430639	-1.0718581	-1.3541903	-1.4443212	-1.6716437	-.37072365	-.09072533
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_G07	2.5	211115	1	1	2	NT704	4.193125	.0340296	.0951361	.0340296	.0779416	0	5	5	1	5720	8739.1096	230	0	.00935053	.99064952	2	2	2	3734.2433	937741.09	0	0	1.364e+09	6661.4467	16463.964	3785.1494	1300276.5	0	0	1.448e+09	7068.5502	15421.249	3993.8652	942077.64	0	0	1.387e+09	6774.2755	16622.279	3773.917	1284754.6	0	0	1.425e+09	6959.9312	15316.149	11/30/2021 9:19	3734.2433	937741.09	1300276.5			ABs	CD15	pomc	1	0	0	1	1	8	-282.35478	25380.59	74361.875	-.17547399	-.37504759	-.26076191	-.29936419	-.02244723	.04314937	.00679293	-.07351974	220.375	6.7916667	781.61377	-1.253905	-1.253905	-.74414274	.55302409	-.55302409	1.0180757	-1.7260559	-1.8790258	-1.4165091	-1.9756647	-1.605273	-1.2679403	-1.2679403	-1.7260559	-.71765024	.39995564	-.36352035	.05083191	-.21300213	.24400246
ABs_CD15_08dpf_vast01_plate01_pomca_211115_1030_W_G08	2.5	211115	1	1	2	NT712	17.41998	.4764144	.55496056	.4083552	.779416	0	13	13	1	6760	9912.4168	290	0	.00661758	.99338245	2	3	3	4320.6344	1120474.2	0	0	1.615e+09	7886.0481	17329.39	4081.3036	1525567.6	0	0	1.658e+09	8094.4483	16031.234	4370.1198	1144429.9	0	0	1.617e+09	7895.3292	17255.742	4103.3267	1525328.4	0	0	1.653e+09	8071.5531	16018.277	11/30/2021 9:19	4320.6344	1120474.2	1525567.6	1	3	ABs	CD15	pomc	1	0	0	1	1	8	304.03626	-50094.969	-40149.479	.21335941	.30051109	.19200758	.15506519	.06213045	-.02510705	.04332522	-.05721973	1260.375	66.791667	1954.9209	1.4034126	1.4034126	.55302409	-.91913552	.74414274	-.5894558	.62782211	-.07557273	.41970798	.88994769	.93575841	.9836224	2.0952972	.9836224	-.59169618	-.05083191	.76219112	.43692993	1.0338532	1.4165091
