filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	negr1_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_G01	16	33	1	0	.09840289	.90159711	1	AU006	k1	4355	3914.2348	67	0	.02771426	.97228575	1	32	1	1	1	3874.6895	943842.16	0	0	1.291e+09	6301.4123	15507.817	3715.7973	1275842.3	0	0	1.320e+09	6447.1234	14114.16	3855.6588	954698.49	0	0	1.292e+09	6306.4115	15476.693	3693.3664	1288014.5	0	0	1.333e+09	6508.4666	14127.334	11/30/2021 11:29	3874.6895	943842.16	1275842.3	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	-116.72835	-39615.036	-21238.862	-904.5	-252.57143	-6748.7578	-.47830599	-.47830599	-.75766986	-.54001137	-.55575496	-.35990401	-1.0099902	-.69736097
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_G02	16	33	1	0	.27690245	.72309755	1	AU014	k1	6047	25138.144	772	0	.00029704	.99970287	1	59	1	4	4	4057.9452	1033324.6	0	0	1.561e+09	7624.0293	17707.824	3994	1414910.9	0	0	1.597e+09	7798.3408	15886.49	4108.7931	1047620.2	0	0	1.580e+09	7715.0499	17723.497	3988.3725	1426514.9	0	0	1.617e+09	7895.577	16011.381	11/30/2021 11:29	4057.9452	1033324.6	1414910.9	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	66.527356	-28460.161	10271.12	787.5	452.42857	14475.151	.40362774	.40362774	.12224789	-.28848832	.37439816	.1633152	.09050664	.40225007
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_H01	16	34	.94445958	.05554042	0	1	1	AU007	k1	4398	1107.8105	0	1	.9999882	.00001177	1	18	1	1	1	3830.5695	915908.81	0	0	1.216e+09	5938.2029	14975.922	3725.8245	1155705	0	0	1.233e+09	6021.0617	13738.543	3808.3905	905650.63	0	0	1.214e+09	5928.9069	15016.871	3680.7978	1158067.6	0	0	1.232e+09	6017.2131	13710.434	11/30/2021 11:29	3830.5695	915908.81	1155705	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	-160.84827	-48690.554	-115480.8	-861.5	-319.57143	-9555.1821	-.79428931	-.79428931	-1.077894	-.72203937	-1.5368734	-1.4540013	-.9706336	-.66694433
ABs_CD15_08dpf_vast01_plate01_negr1_210630_0900_W_H02	16	34	.97527958	.02472042	0	1	1	AU015	k1	6607	21536.222	753	0	.00003879	.99996126	1	26	1	4	4	4117.6347	1182830.8	0	0	1.537e+09	7506.6434	16521.311	4063.4616	1480497.4	0	0	1.604e+09	7830.4909	15847.341	4144.5224	1153671.3	0	0	1.508e+09	7362.6021	16421.834	4112.5582	1484714.4	0	0	1.604e+09	7830.3714	15854.542	11/30/2021 11:29	4117.6347	1182830.8	1480497.4	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	126.21685	95533.454	40824	1347.5	433.42857	10873.23	.60384613	.60384613	1.2815516	1.2815516	.79428931	.57163753	.50925011	1.0938097
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_A05	16	33	1	0	.23249863	.76750137	1	AU028	k1	8175	14776.843	460	0	.00048109	.99951887	4	128	3	3	4	3959.9528	1042057.5	0	0	1.490e+09	7272.9785	17068.275	3845.2935	1426754.2	0	0	1.565e+09	7642.0151	15964.378	3997.5927	1048816.5	0	0	1.484e+09	7247.8321	17017.123	3856.3413	1425528	0	0	1.556e+09	7598.1944	15861.128	11/30/2021 11:29	3959.9528	1042057.5	1426754.2	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	-31.465005	22156.854	79629.225	1303.2	-40.8	-1141.5173	-.10860788	-.10860788	.21851609	.4935534	.40362774	1.065861	1.5956054	1.0302671
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_A08	16	33	.03832425	.96167575	.92390318	.07609682	0	AU050	k1	10338	18257.875	528	0	.0011177	.99888235	4	129	3	4	4	4283.3267	1267348.6	1	10	1.825e+09	8910.1196	18407.235	4170.4158	1614212.6	0	0	1.832e+09	8944.0852	17044.594	4255.7207	1266361.7	1	8	1.811e+09	8841.2908	18316.695	4135.9697	1623454	0	0	1.840e+09	8986.4652	17073.038	11/30/2021 11:29	4283.3267	1267348.6	1614212.6	1	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	291.90885	109230.85	77289.291	3466.2	27.2	2339.5145	1.3457648	1.3457648	1.8101646	1.380062	1.6855013	1.0422467	2.8196442	2.8196442
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_B05	16	34	0	1	.93404146	.06595854	0	AU029	k1	6699	17915.963	650	0	.00093046	.99906951	4	121	3	4	4	3871.8016	1045855.7	0	0	1.473e+09	7192.2489	16853.961	3817.8495	1400076.9	0	0	1.537e+09	7504.2304	15860.779	4073.2203	1053272.7	0	0	1.478e+09	7218.1473	16849.232	3806.8157	1385871	0	0	1.523e+09	7438.787	15783.08	11/30/2021 11:29	3871.8016	1045855.7	1400076.9	1	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	-119.61619	63632.839	104690.72	-172.8	149.2	1997.603	-.4935534	-.4935534	.23241433	1.0422467	.28848832	1.4941549	.60787674	-.22482504
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_B07	16	34	1	0				AU043	k1	6075	11087.119	321	0	.00057831	.99942172	4	120	3	2	3	4047.0561	989061.89	0	0	1.414e+09	6903.6519	16699.433	3862.6451	1348158	0	0	1.457e+09	7116.5407	15242.013	4085.5223	1004912.7	0	0	1.426e+09	6964.2729	16653.616	3867.3962	1351118.8	0	0	1.463e+09	7145.4051	15337.413	11/30/2021 11:29	4047.0561	989061.89	1348158		ABs	CD15	negr1	210630	1	0	0	1	1	1	8	55.638249	-68068.61	-50090.645	-796.8	-179.8	-4831.2413	.33113761	.33113761	-.27439149	-1.1941164	-.06779862	-.70456485	.10261413	-.62243808
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_B08	16	34	0	1	.9382039	.0617961	0	AU051	k1	7432	13360.083	457	0	.001759	.99824095	4	131	3	2	3	4272.4065	1117543.3	0	0	1.502e+09	7333.6444	16515.995	4081.9777	1510165.4	0	0	1.592e+09	7773.4808	15639.98	4148.5074	1103965.5	0	0	1.487e+09	7260.9681	16500.864	4125.0365	1505470	0	0	1.587e+09	7749.9605	15579.35	11/30/2021 11:29	4272.4065	1117543.3	1510165.4	1	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	280.98866	-35906.92	-20348.546	560.2	-43.8	-2558.2773	1.2815516	1.2815516	.81300321	-.43320635	.95309776	-.34548507	1.0721474	.18789171
ABs_CD15_08dpf_vast01_plate01_negr1_210630_1200_W_C05	16	33	.96183007	.03816993	0	1	1	AU030	k1	7046	16242.615	562	0	.00032761	.99967241	4	118	3	3	4	3994.7188	960799.56	0	0	1.381e+09	6744.5259	16520.686	3850.3146	1336793.2	0	0	1.508e+09	7363.4687	15734.282	4034.0326	976799.93	0	0	1.389e+09	6780.8796	16486.9	3844.7802	1346064.5	0	0	1.506e+09	7351.4109	15737.981	11/30/2021 11:29	3994.7188	960799.56	1336793.2	5	ABs	CD15	negr1	210630	1	0	0	1	1	1	8	3.3009968	-73960.839	-30736.988	174.2	61.2	324.25531	.06779862	.06779862	-.55575496	-1.251339	-.14959889	-.52440051	.86066409	-.01807763
