filename	tod	date	plate	batch	tank	index	protein	f_batch	ModTime	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tsf	Food_fluo_cat	Food_fluo_cat_all	Wellfolder	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	cckar_dich	qRNA	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_F01	1.5333333	210519	1	7	14	NM253	16.741063	1	19-maj-2021 09:32:40	4914	6353.6779	0	1	.83906287	.16093712	.46666667	1	1	F01	3810.7889	953980.71	0	0	1.438e+09	7021.5458	17442.663	3762.7742	1328479	0	0	1.244e+09	6075.187	14112.429	3976.4168	956522.83	0	0	1.445e+09	7053.7557	17478.816	3773.8338	1336135.3	0	0	1.252e+09	6113.7918	14089.103	5/19/2021 11:32	3810.7889	953980.71	1328479			AB	CD15	CCKAR	1	0	0	2	1	8	-229.12901	45258.212	83668.823	50.396552	-440.67241	-451119.23	-.96742157	-.96742157	-.25535411	.79544174	-.25535411	1.2554862	.01913573	.07661315
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_F02	1.8333333	210519	1	7	14	NM261	13.562378	1	19-maj-2021 09:50:30	3860	3456.7865	0	1	.97532529	.02467472	.76666667	1	1	F02	3328.1826	865814.21	0	0	1.088e+09	5310.5456	14355.348	3249.9286	1165933.2	0	0	1.018e+09	4972.19	12762.07	3293.6588	862913.21	0	0	1.068e+09	5215.8519	14200.791	3250.0989	1180528	0	0	1.028e+09	5020.0573	12763.72	5/19/2021 11:50	3328.1826	865814.21	1165933.2	1	5	AB	CD15	CCKAR	1	0	0	2	1	8	-711.7353	122517.9	168224.65	-1003.6034	-440.67241	-454016.12	-2.6626875	-2.6626875	-1.2138469	1.8134176	-1.299424	2.6626875	-1.4572834	-1.4040454
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_F03	2.15	210519	1	7	14	NM269	8.1278529	1	19-maj-2021 10:09:42	3800	3876.1331	0	1	.99972874	.00027123	1.0833333	1	1	F03	3627.5996	829626.46	0	0	1.113e+09	5435.7708	14536.14	3459.1735	1080787.4	0	0	1.059e+09	5172.5181	13210.107	3723.3955	855316.77	0	0	1.133e+09	5534.4563	14603.856	3423.6515	1112219.8	0	0	1.089e+09	5316.2781	13209.41	5/19/2021 12:09	3627.5996	829626.46	1080787.4			AB	CD15	CCKAR	1	0	0	2	1	8	-412.31829	-16303.018	-70227.185	-1063.6034	-440.67241	-453596.78	-1.570585	-1.570585	-1.7208871	-.07780333	-1.9247266	-.96742157	-1.578269	-1.5150056
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_F04	2.5833333	210519	1	7	14	NM277	17.45883	1	19-maj-2021 10:35:30	5273	28889.763	25	0	.00107775	.99892223	1.5166667	2	1	F04	4089.6379	1053153.1	1	7	1.589e+09	7756.5733	17860.886	3859.4538	1480437.6	1	5	1.525e+09	7447.1468	15313.529	3856.2289	1081505.1	1	15	1.619e+09	7903.5482	17930.029	4070.5284	1484953.6	0	0	1.497e+09	7307.2466	15092.416	5/19/2021 12:35	4089.6379	1053153.1	1480437.6			AB	CD15	CCKAR	1	0	0	2	1	8	49.719994	48847.633	92852.597	409.39655	-415.67241	-428583.15	.17578212	.17578212	.59717942	.878182	.74319383	1.4491818	.45535347	.47668312
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_F05	2.8666667	210519	1	7	14	NM282	14.58776	1	19-maj-2021 10:52:17	4474	1305138.4	1205	0	.00169092	.99830914	1.8	4	4	F05	4048.892	972283.94	0	0	1.277e+09	6236.787	15620.182	3854.755	1395261.8	0	0	1.251e+09	6106.488	14312.705	4057.9931	983828.13	0	0	1.284e+09	6271.3129	15629.766	3822.9066	1409647.2	0	0	1.296e+09	6329.5395	14525.619	5/19/2021 12:52	4048.892	972283.94	1395261.8	1	5	AB	CD15	CCKAR	1	0	0	2	1	8	8.9741426	-18054.779	28539.298	-389.60345	764.32759	847665.46	0	0	-.09730949	-.15608123	.23532887	.35721583	-.65658098	-.56434541
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_F06	3.1833333	210519	1	7	14	NM290	17.048678	1	19-maj-2021 11:11:36	6194	868134.97	659	0	.00077515	.9992249	2.1166667	3	3	F06	4252.5501	1072712.4	0	0	1.530e+09	7470.3196	17511.707	4040.7365	1499010	0	0	1.429e+09	6975.3793	15185.362	4265.639	1079860.2	0	0	1.534e+09	7491.4032	17476.619	4042.2387	1519137.6	0	0	1.450e+09	7077.9471	15244.77	5/19/2021 1:11	4252.5501	1072712.4	1499010	1	5	AB	CD15	CCKAR	1	0	0	2	1	8	212.63219	12564.453	28011.511	1330.3966	218.32759	410662.06	.79544174	.79544174	.74319383	.2957227	.878182	.33657924	1.8203725	1.7281046
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_F07	3.45	210519	1	7	14	NM298	7.6151618	1	19-maj-2021 11:27:42	4025	1468717.5	1223	0	.0007443	.99925572	2.3833333	4	4	F07	3615.6545	798881.84	0	0	1.273e+09	6217.2872	16772.154	3636.0073	1100257	0	0	1.163e+09	5677.8875	14501.266	3613.1018	823076.78	0	0	1.291e+09	6304.946	16761.176	3631.6618	1121401.4	0	0	1.181e+09	5764.2775	14637.08	5/19/2021 1:27	3615.6545	798881.84	1100257			AB	CD15	CCKAR	1	0	0	2	1	8	-424.26342	-42953.135	-44641.496	-838.60345	782.32759	1011244.6	-1.7208871	-1.7208871	-1.9247266	-.7178201	-1.8134176	-.69290035	-1.0748481	-1.0413569
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_F08	3.7166667	210519	1	7	14	NM305	14.792837	1	19-maj-2021 11:43:59	5539	1333624.6	1037	0	.00015699	.999843	2.65	4	4	F08	4318.1729	1030274	0	0	1.373e+09	6703.0311	16045.567	4142.6747	1465753.2	0	0	1.385e+09	6763.1329	14811.175	4249.6692	1033773.2	0	0	1.399e+09	6832.6864	16212.498	4168.106	1444967.7	0	0	1.333e+09	6507.2476	14524.919	5/19/2021 1:44	4318.1729	1030274	1465753.2	0	1	AB	CD15	CCKAR	1	0	0	2	1	8	278.25505	-52367.887	-38845.204	675.39655	596.32759	876151.65	1.2138469	1.2138469	.42009151	-.90712427	.66840365	-.50664618	.88892051	.94724991
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_G01	1.5833333	210519	1	7	14	NM254	14.075069	1	19-maj-2021 09:35:42	4009	5484.4182	0	1	.94381183	.05618818	.51666667	1	1	G01	3878.5931	894704.59	0	0	1.053e+09	5140.3779	13729.381	3617.8582	1207115.5	0	0	9.642e+08	4707.864	12015.771	3783.4779	899878.54	0	0	1.047e+09	5114.6289	13691.175	3588.8503	1219138.2	0	0	9.860e+08	4814.4398	12160.272	5/19/2021 11:35	3878.5931	894704.59	1207115.5	1	5	AB	CD15	CCKAR	1	0	0	2	1	8	-161.32477	-37259.624	-72411.482	-854.60345	-440.67241	-451988.49	-.64430165	-.64430165	-.82239396	-.5513477	-.96742157	-1.0314591	-1.1457264	-1.1095904
AB_CD15_08dpf_VAST02_plate01_CCKAR_210519_G02	1.8833333	210519	1	7	14	NM262	19.817209	1	19-maj-2021 09:53:27	3942	4034.6526	0	1	.99996078	.00003925	.81666667	1	1	G02	3910.466	1026834.7	0	0	1.567e+09	7649.3115	18033.549	3929.764	1296388.5	0	0	1.395e+09	6810.0601	15714.66	3906.376	993817.14	0	0	1.548e+09	7557.8974	18005.061	3822.9066	1306287.8	0	0	1.356e+09	6619.4999	15341.394	5/19/2021 11:53	3910.466	1026834.7	1296388.5			AB	CD15	CCKAR	1	0	0	2	1	8	-129.45187	83945.216	542.1902	-921.60345	-440.67241	-453438.26	-.50664618	-.50664618	.3780057	1.2554862	-.46293515	-.07780333	-1.3545138	-1.3080991
