filename	tod	date	plate	batch	tank	index	protein	ldl	gluc	tc	tg	freeze_dried	pos_bio	Löpnr	batch_bio	f_batch	ModTime	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tsf	Food_fluo_cat	Food_fluo_cat_all	Wellfolder	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	ghsr_dich	qRNA	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intldl	inttg	inttc	intgluc	intldl_Res	inttg_Res	inttc_Res	intgluc_Res	intldl_Res1	inttg_Res1	inttc_Res1	intgluc_Res1	intIntestine_area	intIntestine_area_Res
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_F04	2.6	210909	1	9	20	NS405	9.9368705	.3743256	.22198422	.2041776	.4676496	0	27	27	1	2	09-sep-2021 10:36:58	4526	270517.7	184	0	.0025582	.99744177	.48333333	2	2	F04	3769.7185	1126306.2	1	9	1.774e+09	8664.2364	19093.241	3885.8538	1223863.5	1	2	1.764e+09	8610.8594	18499.366	3779.6818	1178703.6	1	2	1.783e+09	8703.7377	18873.545	3724.3633	1218420.4	1	4	1.775e+09	8664.9398	18588.323	9/9/2021 12:37	3769.7185	1126306.2	1223863.5	1	5	AB	CD15	GHSR	1	0	0	2	1	8	-319.49192	225308.51	-2825.8492	-.04694457	-.25383953	-.048657	-.05833279	-.04096804	-.0638189	.0414267	.0310599	-439.04762	-350.61905	-409694	-1.1983797	-1.1983797	1.0757227	1.768825	-.86942377	-.06431684	-.2533471	-.45376219	-.38532047	-.12566135	-.22111871	-.56070303	-.41929575	-.03133798	.22111871	-.22111871	-.41929575	.41929575	-.46370775	-.39820892
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_F05	3.6666667	210909	1	9	19	NS413	21.165782	.5785032	.72937674	.2382072	1.4808904	0	35	35	1	3	09-sep-2021 11:40:59	5934	674069.81	756	0	.00108062	.99891937	-3.335e-13	3	3	F05	4391.5731	1114223.6	0	0	1.726e+09	8425.4615	18762.707	4213.3161	1611251.8	0	0	1.742e+09	8506.7975	17136.516	4383.1443	1121042.5	0	0	1.716e+09	8376.7811	18674.506	4183.9512	1600126.3	0	0	1.737e+09	8480.0474	17032.981	9/9/2021 1:41	4391.5731	1114223.6	1611251.8	1	5	AB	CD15	GHSR	1	0	0	2	1	8	302.36268	-6555.8735	57215.093	-.01786326	.729929	.47993938	.12785055	-.02878831	.38257315	.31526725	-.03555842	395.3	-156.5	-150422.57	1.1983797	1.1983797	.77913968	.19402814	1.521218	.6151411	1.0916204	1.6448536	-.09413741	2.2414027	.88714656	1.5341205	-.22111871	2.2414027	-.41929575	.98423496	-.28584087	2.2414027	.83314687	.53126076
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_F06	3.9166667	210909	1	9	19	NS421	15.738475	.6125328	.53910454	.4764144	1.4029488	0	42	42	1	3	09-sep-2021 11:55:18	6181	1240568.4	1415	0	.00223052	.99776947	.25	4	4																																		0	1	AB	CD15	GHSR	1	0	0	2	1	8				.21601419	.62619916	.30822056	.14613517	.21450311	.57815535	.28544428	.12353359	642.3	502.5	416076.02							1.5341205	1.2815516	2.2414027	1.2133396	1.2133396	1.2133396	2.2414027	1.5341205	1.3563117	1.7804643	2.2414027	1.7804643	1.2418668	.75145154
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_G01	1.5666667	210909	1	9	19	NS384	19.57502	.6125328	.61838462	.1020888	1.4808904	0	6	6	1	1	09-sep-2021 09:34:48	6254	1137030.8	1105	0	.00080003	.99919993	.21666667	3	3	G01	4424.4351	1116795.7	0	0	1.774e+09	8662.3251	19228.467	4417.6703	1651237.8	0	0	1.663e+09	8119.6594	16735.409	4421.2163	1161387.3	0	0	1.775e+09	8667.6368	19031.957	4424.5567	1632157	0	0	1.639e+09	8002.4267	16606.861	9/9/2021 11:34	4424.4351	1116795.7	1651237.8	0	1	AB	CD15	GHSR	1	0	0	2	1	8	335.22464	-15598.244	79902.355	-.13604412	.83676598	.29208326	.22710934	-.14776715	.46403864	.1153832	.05176469	1424.9091	613.90909	672182.66	1.3423357	1.3423357	.86942377	-.06431684	2.2316058	1.0757227	1.5341205	1.6448536	-1.4395315	1.5341205	2.2414027	1.7804643	-1.2133396	1.3563117	.71436744	1.2133396	-1.3563117	.79777685	1.5587835	1.8027431
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_G02	2.1166667	210909	1	9	19	NS390	15.457752	.510444	.45982446	.3743256	.9352992	0	12	12	1	2	09-sep-2021 10:07:54	6107	1465435.8	991	0	.00043388	.99956614	-3.335e-13	4	4	G02	4240.7679	1119337.8	0	0	1.667e+09	8138.9027	18115.157	4131.9039	1529724.7	0	0	1.557e+09	7603.3106	16017.371	4184.5087	1122268.7	0	0	1.655e+09	8082.6869	18011.188	4141.2883	1516834.7	0	0	1.552e+09	7579.0134	16089.546	9/9/2021 12:07	4240.7679	1119337.8	1529724.7	0	1	AB	CD15	GHSR	1	0	0	2	1	8	151.5575	51857.289	55072.593	.13248146	.26907058	.149426	.11152485	.12797907	.1259195	.0815619	.04418131	1141.9524	456.38095	785224.14	.2599896	.2599896	.96742157	1.0757227	.6151411	.53920764	.45376219	.84162123	1.1503494	.98423496	.79777685	.88714656	1.2133396	.88714656	.48877641	.48877641	1.3563117	.63565701	1.0162217	1.2418668
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_G03	2.3833333	210909	1	9	19	NS398	11.340485	.510444	.22198422	.3062664	.5455912	0	20	20	1	2	09-sep-2021 10:23:21	4465	262561.87	330	0	.00401992	.99598002	.26666667	2	2	G03	4011.3123	976710.21	0	0	1.497e+09	7311.0878	17615.567	3934.4074	1411112.7	0	0	1.521e+09	7425.5676	15731.755	4115.7712	1012060.5	0	0	1.551e+09	7573.8723	17758.07	3943.5148	1397325.4	0	0	1.527e+09	7456.2125	15825.869	9/9/2021 12:23	4011.3123	976710.21	1411112.7	1	5	AB	CD15	GHSR	1	0	0	2	1	8	-77.898137	-9673.8436	57247.126	.05947398	-.15010969	-.06721038	.09353059	.06242134	-.05639983	-.02278504	.13761515	-500.04762	-204.61905	-417649.83	-.2599896	-.2599896	-.19402814	.06431684	.06431684	.69480185	.45376219	-.18911843	.56070303	-.12566135	.56070303	-.22111871	.56070303	-.15731068	1.7804643	-.03133798	.56070303	-.22111871	-.60133175	-.53126076
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_G04	2.6333333	210909	1	9	19	NS406	17.235663	.4764144	.3012643	.3062664	1.4029488	0	28	28	1	2	09-sep-2021 10:38:53	6202	2006035.4	1657	0	.00019998	.99980003	.51666667	4	4	G04	4291.5299	1329256.6	0	0	1.783e+09	8706.0013	18314.655	4076.512	1584275.5	0	0	1.748e+09	8533.0782	17459.54	4272.6375	1341847.5	0	0	1.813e+09	8852.8816	18378.023	4037.323	1557717.9	0	0	1.725e+09	8420.7823	17470.876	9/9/2021 12:38	4291.5299	1329256.6	1584275.5	0	1	AB	CD15	GHSR	1	0	0	2	1	8	202.3195	243835.32	82902.008	.05452569	.67777564	.03327356	.04150673	.04903505	.50320373	-.04948631	-.04061832	1236.9524	1122.381	1325823.7	.46626526	.46626526	2.2316058	2.2316058	1.1983797	1.1983797	.22111871	1.2815516	.56070303	.31863936	.09413741	1.3563117	.41929575	.48877641	-.48877641	1.5341205	.35178434	-.41929575	1.3829941	1.3829941
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_G05	3.7	210909	1	9	20	NS414	15.177029	.5444736	.0951361	.2722368	1.2470656	0	36	36	1	3	09-sep-2021 11:42:38	5676	1504772.4	1523	0	.00005241	.99994755	.03333333	4	4	G05	4426.8678	1082432.3	0	0	1.556e+09	7598.6489	17426.468	4222.6577	1544379.3	0	0	1.565e+09	7641.8706	16019.591	4296.7604	1051149.3	0	0	1.540e+09	7521.9061	17498.874	4222.1017	1547340.1	0	0	1.563e+09	7633.0602	16029.009	9/9/2021 1:42	4426.8678	1082432.3	1544379.3	0	1	AB	CD15	GHSR	1	0	0	2	1	8	337.65741	-50821.461	-28236.788	.0155478	.49242017	-.15165078	.09157166	.01424028	.45084808	-.17135899	.07201463	137.3	610.5	680280.07	1.521218	1.521218	.2599896	-.77913968	.86942377	-.32710332	.79777685	1.0364334	.22111871	-1.3563117	.48877641	.98423496	.15731068	-1.0916204	.88714656	1.0916204	.15731068	-.98423496	.39820892	.02984524
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_G06	3.9333333	210909	1	9	20	NS422	14.896307	.5444736	0	.4423848	.5455912	0	43	43	1	3	09-sep-2021 11:56:56	5762	1230682.7	1094	0	.00047101	.999529	.26666667	4	4	G06	4458.0008	1090686.6	0	0	1.517e+09	7406.1749	17061.332	4159.9326	1525148.9	0	0	1.492e+09	7286.1668	15452.658	4410.4918	1064966.4	0	0	1.510e+09	7373.5591	17085.4	4211.0263	1519466.6	0	0	1.484e+09	7243.8129	15447.004	9/9/2021 1:56	4458.0008	1090686.6	1525148.9	0	1	AB	CD15	GHSR	1	0	0	2	1	8	368.79034	-53570.366	-63855.662	.18136605	-.23484247	-.2282335	.07582669	.18130589	-.23675531	-.22914032	.07492682	223.3	181.5	406190.33	2.2316058	2.2316058	.46626526	-.86942377	.53920764	-.77913968	.79777685	-.18911843	1.7804643	-2.2414027	.35178434	-.48877641	1.7804643	-2.2414027	.98423496	-.98423496	1.7804643	-1.7804643	.60133175	.21042839
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_H04	2.6666667	210909	1	9	20	NS407	11.527633	.3062664	.15856016	.3062664	.6235328	0	29	29	1	2	09-sep-2021 10:40:51	5018	56057.071	73	0	.00851702	.99148291	.55	1	1	H04	3836.8728	962145.39	0	0	1.536e+09	7501.4301	18091.734	3822.2611	1382641	1	4	1.525e+09	7447.3161	15668.694	3741.6483	974526.98	1	10	1.568e+09	7654.2048	18273.319	3817.9552	1352674	1	4	1.493e+09	7289.2572	15564.144	9/9/2021 12:40	3836.8728	962145.39	1382641			AB	CD15	GHSR	1	0	0	2	1	8	-252.3376	37413.42	120601.25	.05390715	-.1053244	-.1067801	-.13089056	.05758858	.01172459	-.0512903	-.07582641	52.952381	-461.61905	-624154.63	-.77913968	-.77913968	-.36120164	.86942377	-.2599896	1.521218	-.79777685	.03133798	.56070303	-.56070303	-.98423496	-.03133798	.35178434	-.48877641	-1.0916204	.15731068	.48877641	-.48877641	-.08964235	-.02984524
AB_CD15_08dpf_VAST02_plate01_GHSR_210909_H05	3.7333333	210909	1	9	19	NS415	21.165782	.340296	.0951361	.1020888	.3117664	0	37	37	1	3	09-sep-2021 11:44:17	3921	8953.1796	0	1	.99523997	.00476005	.06666667	1	1	H05	4019.8326	877059.33	0	0	1.409e+09	6881.932	17456.273	3846.5961	1251258.5	0	0	1.391e+09	6790.9077	15463.555	4007.4409	881994.02	0	0	1.395e+09	6810.5868	17304.941	3830.0152	1248208	0	0	1.392e+09	6795.0154	15402.022	9/9/2021 1:44	4019.8326	877059.33	1251258.5			AB	CD15	GHSR	1	0	0	2	1	8	-69.37784	-112336.05	-107092.13	-.15521873	-.44656307	-.1490003	-.11485522	-.16591466	-.78663424	-.31021895	-.27483721	-1617.7	-912.5	-815539.2	-.19402814	-.19402814	-.96742157	-1.768825	-.6151411	-1.1983797	-.41929575	-1.2133396	-1.4395315	-1.3563117	-.71436744	-1.3563117	-1.5341205	-.88714656	-2.2414027	-2.2414027	-2.2414027	-2.2414027	-1.1219005	-2.260189
