filename	tod	date	plate	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	mc4r_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	filename9	filename10	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_D02	2.5	211116	1	3	6	0	1	.94628554	.05371446	1	NT800	k5	6592	9980.3642	304	0	.03477595	.96522409	1	3	3	4072.8422	1128579.1	1	8	1.537e+09	7504.4894	16695.286	4080.7467	1566510.6	0	0	1.648e+09	8047.9407	15582.814	4066.2942	1144519.7	1	9	1.561e+09	7621.9176	16782.784	4069.6908	1556551.5	0	0	1.629e+09	7956.4906	15480.774	11/30/2021 9:24	4072.8422	1128579.1	1566510.6	4	ABs	CD15	mc4r	W	D02	1	0	0	1	1	8	24.468297	62120.847	131729.38	1170.3043	102.86957	2586.1371	.06182245	.06182245	.60940878	1.1250605	.91697655	1.555957	.74387245	.90731847
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_D03	2.5	211116	1	3	6	0	1	.94430772	.05569228	1	NT808	k5	5242	9410.114	277	0	.01088113	.98911881	1	3	2	4157.4371	1068495.5	0	0	1.523e+09	7436.0864	16877.875	3882.9511	1450141.6	0	0	1.569e+09	7661.5522	15424.063	3991.0074	1054708.3	0	0	1.461e+09	7133.7645	16477.691	3943.348	1452025.8	0	0	1.567e+09	7650.6923	15424.806	11/30/2021 9:24	4157.4371	1068495.5	1450141.6	4	ABs	CD15	mc4r	W	D03	1	0	0	1	1	8	109.06327	-32319.104	-31480.022	-179.69565	75.869565	2015.887	.54681325	.54681325	.15061213	-.46651758	.1684908	-.46651758	-.23453517	-.13319428
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_D04	2.5	211116	1	3	6	1	0	0	1	0	NT816	k5	6177	3184.0743	29	0	.13433574	.8656643	1	1	1	4037.1378	1079142.5	0	0	1.556e+09	7598.5704	17199.014	3990.3217	1444369.5	0	0	1.590e+09	7764.4611	15714.98	4065.4005	1086439.8	0	0	1.563e+09	7633.5532	17188.459	3995.5572	1436055.3	0	0	1.561e+09	7621.325	15528.888	11/30/2021 9:24	4037.1378	1079142.5	1444369.5	1	ABs	CD15	mc4r	W	D04	1	0	0	1	1	8	-11.236079	27184.726	29357.835	755.30435	-172.13043	-4210.1528	-.15061213	-.15061213	.27711717	.56742932	.11499296	.42750151	.409573	.59825638
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_E01	2.5	211116	1	3	5	.039423	.960577	.93431385	.06568615	1	NT793	k5	4760	2297.647	29	1	.91855258	.08144737	1	1	1																																	4	ABs	CD15	mc4r	W	E01	1	0	0	1	1	8				-661.69565	-172.13043	-5096.5801							-.59825638	-.46436801
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_E02	2.5	211116	1	3	5	1	0	0	1	0	NT801	k5	4210	6556.1886	154	0	.07009844	.9299016	1	1	2	3544.8301	839705.2	0	0	1.115e+09	5443.2365	14624.435	3511.2825	1120175.2	0	0	1.157e+09	5647.8142	13435.659	3604.6074	849245.61	0	0	1.121e+09	5474.2274	14633.314	3467.4635	1121939.7	0	0	1.169e+09	5705.8454	13522.392	11/30/2021 9:24	3544.8301	839705.2	1120175.2	1	ABs	CD15	mc4r	W	E02	1	0	0	1	1	8	-503.54378	-12312.896	-22244.898	-1211.6957	-47.130435	-838.03842	-1.7655892	-1.7655892	-2.1059204	-.11499296	-1.7655892	-.29550827	-1.0696693	-1.0125853
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_E03	2.5	211116	1	3	5	.00677241	.99322759	.91731907	.08268093	1	NT809	k5	7184	10308.968	291	0	.00066152	.99933845	1	3	3	4237.2685	1215011	1	8	1.728e+09	8438.8776	17756.956	4136.8193	1535616.5	0	0	1.817e+09	8873.4932	16875.161	4238.747	1210943.6	1	7	1.726e+09	8429.9302	17782.812	4113.8124	1541209.1	0	0	1.852e+09	9043.6995	17087.36	11/30/2021 9:24	4237.2685	1215011	1535616.5	4	ABs	CD15	mc4r	W	E03	1	0	0	1	1	8	188.89467	81774.68	9792.0491	1762.3043	89.869565	2914.7412	.97212993	.97212993	1.4470343	1.3529978	.69681993	.11499296	1.1957655	1.3444344
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_E04	2.5	211116	1	3	5	0	1	.9271025	.0728975	1	NT817	k5	5662	1346.3351	0	1	.99958676	.00041331	1	1	1	3750.7054	937322.39	0	0	1.338e+09	6531.9196	16091.78	3779.7728	1282780.8	0	0	1.425e+09	6956.9765	14843.426	3784.0312	955476.07	0	0	1.348e+09	6581.3172	16041.588	3778.8588	1288612.7	0	0	1.428e+09	6972.9053	14833.546	11/30/2021 9:24	3750.7054	937322.39	1282780.8	4	ABs	CD15	mc4r	W	E04	1	0	0	1	1	8	-297.66844	1692.6811	26367.171	240.30435	-201.13043	-6047.8919	-1.269605	-1.269605	-1.1250605	.04414511	-.89042181	.38912579	-.03320648	.16677172
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_F01	2.5	211116	1	3	6	.05823212	.94176788	.91977732	.08022268	1	NT794	k5	2710	1165.1249	6	0	.01585105	.98414892	1	1	1	3567.8428	851907.35	0	0	1.136e+09	5548.4825	14549.292	3413.3631	1106986.1	0	0	1.171e+09	5716.2882	13507.366	3546.3863	859593.51	0	0	1.144e+09	5585.8497	14575.508	3402.9865	1113087.2	0	0	1.177e+09	5745.1388	13534.737	11/30/2021 9:24	3567.8428	851907.35	1106986.1	4	ABs	CD15	mc4r	W	F01	1	0	0	1	1	8	-480.53101	-9456.8604	-48176.191	-2711.6957	-195.13043	-6229.1022	-1.6181336	-1.6181336	-1.8565143	-.06182245	-1.9660246	-.6308035	-2.1307156	-1.9921225
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_F03	2.5	211116	1	3	6	0	1	.93725231	.06274769	1	NT810	k5	5890	6044.1572	151	0	.0330506	.9669494	1	1	2	4139.8474	1146882.3	0	0	1.619e+09	7905.645	17156.862	4130.0795	1558764.6	0	0	1.722e+09	8405.8297	16036.742	4393.5714	1180797.1	0	0	1.663e+09	8120.9369	17296.287	4129.616	1556222.5	0	0	1.714e+09	8368.0491	15977.303	11/30/2021 9:24	4139.8474	1146882.3	1558764.6	4	ABs	CD15	mc4r	W	F03	1	0	0	1	1	8	91.473505	53211.421	86882.507	468.30435	-50.130435	-1350.0698	.42750151	.42750151	.78991491	1.0008457	.7542415	1.0609065	.14996187	.35598165
ABs_CD15_08dpf_vast01_plate01_mc4r_211116_1030_W_G01	2.5	211116	1	3	5	0	1				NT795	k5	5386	8544.5089	255	0	.00961561	.99038434	1	2	2	3997.3121	973569.95	0	0	1.506e+09	7354.9608	17668.732	3795.7065	1375582.9	0	0	1.519e+09	7415.0016	15607.558	3994.9172	974885.86	0	0	1.498e+09	7313.7935	17576.381	3801.7883	1351417.8	0	0	1.484e+09	7244.6558	15388.689	11/30/2021 9:24	3997.3121	973569.95	1375582.9		ABs	CD15	mc4r	W	G01	1	0	0	1	1	8	-51.061757	-62213.485	-17377.241	-35.695652	53.869565	1150.2819	-.44692449	-.44692449	-.65249095	-1.0008457	-.3325995	-.24060773	-.18362884	-.06644962
