filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	irs1_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_E08	13	26	.06430473	.93569527	1	0	1	AX029	k5	4592	2251.6774	2	1	.86231625	.13768378	1.5	8	1	1	1	4229.9217	1101513.1	1	5	1.616e+09	7888.293	17676.903	4072.2804	1435576.8	0	0	1.600e+09	7813.6868	15714.217	4234.2254	1107494.5	1	6	1.614e+09	7881.1797	17571.003	4071.0464	1442694.7	0	0	1.607e+09	7847.3287	15709.074	11/30/2021 11:22	4229.9217	1101513.1	1435576.8	5	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	213.36495	-22053.249	-28447.065	32.509543	-252.17647	-7481.2083	.77913968	.77913968	.3957253	-.12890111	.32710332	-.3957253	-.51841799	.02611368
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_F05	13	27	.97670217	.02329783	0	1	0	AX006	k5	5480	28381.782	584	0	.00236402	.99763596	1.5	31	1	4	4	3855.0343	879990.23	0	0	1.181e+09	5765.6359	14986.84	3607.1578	1174068	0	0	1.235e+09	6029.9457	13975.498	3648.2506	870479.74	0	0	1.187e+09	5796.7203	15085.793	3613.6149	1184086.9	0	0	1.245e+09	6079.896	14005.704	11/30/2021 11:22	3855.0343	879990.23	1174068	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	-161.52242	-85983.583	-111578.16	480.41494	329.82353	18648.896	-.46626526	-.46626526	-1.3423357	-.86942377	-.96742157	-1.521218	-.02611368	.45955825
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_F08	13	27	1	0	0	1	0	AX030	k5	4039	8578.0722	209	0	.11216872	.88783127	1.5	24	1	2	2	3802.685	992770.39	0	0	1.338e+09	6534.8979	15643.534	3788.1704	1259991.5	0	0	1.358e+09	6629.2193	14529.767	3797.5813	1000097.7	0	0	1.336e+09	6525.643	15552.291	3785.655	1253382	0	0	1.351e+09	6596.5026	14488.939	11/30/2021 11:22	3802.685	992770.39	1259991.5	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	-213.87175	48802.808	2431.6147	-960.58506	-45.176471	-1154.8135	-.96742157	-.96742157	-.46626526	.77913968	-.53920764	-.12890111	-.9265376	-1.1011455
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_G05	13	26	.97249976	.02750024	0	1	0	AX007	k5	3847	1077.4389	0	0	.02491831	.97508168	1.5	21	1	1	1	4200.6978	1124810.8	0	0	1.581e+09	7721.4286	17181.23	3979.8751	1406507	0	0	1.559e+09	7611.7737	15540.03	4184.4336	1138179.3	0	0	1.589e+09	7758.8095	17129.221	3994	1413415.5	0	0	1.554e+09	7587.8388	15416.177	11/30/2021 11:22	4200.6978	1124810.8	1406507	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	184.14103	13529.424	-41837.756	-712.49046	-254.17647	-8655.4468	.53920764	.53920764	.53920764	.2599896	.12890111	-.69480185	-1.0099902	-.84908619
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_G06	13	26	1	0	0	1	0	AX015	k5	5936	3134.5308	11	1	.85455781	.14544216	1.5	15	1	1	1	4157.4155	1111771.2	0	0	1.545e+09	7542.1243	16823.674	4168.35	1510823.4	0	0	1.621e+09	7916.5011	15516.977	4162.8828	1123375.2	0	0	1.539e+09	7512.2988	16739.632	4151.9483	1511122.4	0	0	1.622e+09	7917.8633	15516.327	11/30/2021 11:22	4157.4155	1111771.2	1510823.4	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	140.85879	18684.551	85700.312	1376.5095	-243.17647	-6598.3549	.3957253	.3957253	.46626526	.3957253	.86942377	1.521218	.13092665	1.2025083
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_G07	13	26	1	0	0	1	0	AX023	k5	3819	7968.3433	184	0	.00679816	.99320191	1.5	6	1	2	2	3910.466	1025070.2	0	0	1.378e+09	6727.4055	15823.893	3863.3574	1305510.3	0	0	1.386e+09	6767.2194	14554.36	3871.8904	1022617.8	0	0	1.370e+09	6691.4938	15738.541	3846.4133	1303985	0	0	1.386e+09	6767.3738	14528.731	11/30/2021 11:22	3910.466	1025070.2	1305510.3	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	-106.09074	35794.397	12879.865	-740.49046	-70.176471	-1764.5424	-.2599896	-.2599896	-.19402814	.6151411	-.46626526	.19402814	-1.3180109	-.9265376
ABs_CD15_08dpf_vast01_plate01_irs1_210701_0930_W_H06	13	27	.09290898	.90709102	1	0	1	AX016	k5	5962	24185.779	722	0	.00060866	.99939132	1.5	9	1	4	4	4248.5712	1079950	0	0	1.581e+09	7717.905	17550.462	4202.9932	1523384.4	0	0	1.633e+09	7974.9631	15599.379	4369.5415	1097834.5	0	0	1.582e+09	7725.2661	17448.619	4192.0635	1522128.3	0	0	1.631e+09	7962.6962	15602.469	11/30/2021 11:22	4248.5712	1079950	1523384.4	5	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	232.01443	-51456.097	26598.974	962.41494	467.82353	14452.894	.86942377	.86942377	.22688544	-.46626526	.96742157	.3957253	.1838047	.77642176
ABs_CD15_08dpf_vast01_plate01_irs1_210701_1100_W_A10	13	26	.95706091	.04293909	.05271293	.94728707	0	AX041	k5	4534	5860.4142	133	0	.01109274	.98890734	3	48	3	2	2	4314.9685	1077348	0	0	1.539e+09	7515.0268	17148.583	4234.3702	1484564.8	0	0	1.569e+09	7660.4926	15145.505	4326.3654	1091314.7	0	0	1.550e+09	7567.3989	17099.088	4218.2819	1487166.7	0	0	1.574e+09	7685.0613	15216.801	11/30/2021 11:22	4314.9685	1077348	1484564.8	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	298.41176	-81969.666	-25088.103	-89.270263	-118.33333	-4624.625	1.0757227	1.0757227	.12890111	-.77913968	.69480185	-.32710332	-.57913216	-.07841241
ABs_CD15_08dpf_vast01_plate01_irs1_210701_1100_W_A11	13	26	.96682487	.03317513	0	1	0	AX048	k5	4669	26476.475	578	0	.00020882	.9997912	3	64	3	4	4	3940.6926	1006826.8	0	0	1.381e+09	6745.4136	16046.415	3810.2709	1341309.2	0	0	1.394e+09	6806.7755	14484.275	3954.0008	1015470	0	0	1.369e+09	6682.5589	15885.784	3798.8569	1340531.6	0	0	1.391e+09	6789.9652	14424.169	11/30/2021 11:22	3940.6926	1006826.8	1341309.2	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	-75.864142	4844.5448	32461.725	45.729737	326.66667	15991.435	-.12890111	-.12890111	-.3957253	.06431684	-.2599896	.69480185	-.40225007	.07841241
ABs_CD15_08dpf_vast01_plate01_irs1_210701_1100_W_A12	13	27	.96178729	.03821271	0	1	0	AX056	k5	4518	1518.1014	0	1	.99999225	7.724e-06	3	49	3	1	1	3513.5985	920006.1	0	0	1.201e+09	5864.5592	14667.734	3508.5771	1131599.7	0	0	1.187e+09	5795.8126	13476.26	3503.5913	895541.99	0	0	1.184e+09	5779.8626	14687.245	3514.2751	1120205.1	0	0	1.175e+09	5737.8835	13437.882	11/30/2021 11:22	3513.5985	920006.1	1131599.7	1	ABs	CD15	irs1	210701	1	0	0	1	1	1	8	-502.95829	97562.675	29139.779	-545.36487	-251.33333	-8966.9379	-2.2316058	-2.2316058	-.96742157	1.0757227	-1.3423357	.6151411	-.64206138	-.51841799
