filename	tod	date	plate	batch	tank	index	protein	f_batch	ModTime	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tsf	Food_fluo_cat	Food_fluo_cat_all	Wellfolder	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	lep_dich	qRNA	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
AB_CD15_08dpf_VAST02_plate01_LEP_210902_E09	5	210902	1	5	11	NR481	9.9368151	2	02-sep-2021 13:00:08	4129	112747.16	97	0	.00341554	.99658442	1.2	1	1	E09	3852.4268	906577.76	0	0	1.270e+09	6202.3857	15805.429	3658.4262	1224491.6	0	0	1.292e+09	6307.0963	14661.918	3698.6382	940881.35	0	0	1.295e+09	6321.1088	15787.463	3659.1823	1210853.9	0	0	1.278e+09	6238.8078	14568.394	9/2/2021 3:00	3852.4268	906577.76	1224491.6	1	5	AB	CD15	LEP	1	0	0	2	1	8	-163.26137	-39974.826	-79808.655	-970.87097	-814.45161	-1025467.4	-.55910955	-.55910955	-.87709547	-.46587588	-1.1503494	-1.0043345	-1.2815516	-1.2815516
AB_CD15_08dpf_VAST02_plate01_LEP_210902_F01	1.6166667	210902	1	5	12	NR421	18.964377	1	02-sep-2021 09:37:32	4954	6017.2689	0	1	.93750542	.06249462	.33333333	1	1																																		1	5	AB	CD15	LEP	1	0	0	2	1	8				-29.387097	-394.70968	-643126.64							-.21267695	.05279564
AB_CD15_08dpf_VAST02_plate01_LEP_210902_F02	1.9833333	210902	1	5	11	NR429	15.008479	1	02-sep-2021 09:59:03	4204	52094.136	44	0	.01209378	.98790622	.7	1	1	F02	3977.9471	930174.56	0	0	1.329e+09	6489.4736	16477.255	3694.8115	1240282.6	0	0	1.222e+09	5966.4497	14431.565	4071.2337	942077.64	0	0	1.338e+09	6533.6229	16475.496	3740.7249	1262384	0	0	1.237e+09	6039.5318	14497.152	9/2/2021 11:59	3977.9471	930174.56	1240282.6			AB	CD15	LEP	1	0	0	2	1	8	-37.741047	-61145.106	-120329	-779.3871	-350.70968	-597049.78	.12291562	.12291562	-.46587588	-.7626835	-1.0043345	-1.9240539	-1.2237339	-.93970593
AB_CD15_08dpf_VAST02_plate01_LEP_210902_F03	2.25	210902	1	5	10	NR437	17.341445	1	02-sep-2021 10:15:29	4983	1229945.4	870	0	.00173261	.99826741	.96666667	3	4	F03	3867.8022	950062.87	0	0	1.402e+09	6847.6141	16842.901	3814.1973	1329705.2	0	0	1.410e+09	6885.8716	15230.676	3871.1411	956343.38	0	0	1.403e+09	6848.9588	16810.595	3714.312	1336254.9	0	0	1.413e+09	6897.4288	15192.106	9/2/2021 12:15	3867.8022	950062.87	1329705.2	0	1	AB	CD15	LEP	1	0	0	2	1	8	-147.88595	-1973.3942	18507.193	-.38709677	475.29032	580801.51	-.43571506	-.43571506	-.29010079	.20578799	-.23370064	.17803479	-.15898053	.07923953
AB_CD15_08dpf_VAST02_plate01_LEP_210902_F04	2.5833333	210902	1	5	12	NR444	15.109912	1	02-sep-2021 10:35:41	4222	403814.07	223	0	.00331768	.99668235	1.3	2	2	F04	3948.8957	905321.66	0	0	1.257e+09	6135.2751	15625.124	3779.7728	1295999.8	0	0	1.261e+09	6158.5924	14004.11	3887.8005	902779.54	0	0	1.261e+09	6156.462	15653.978	3773.4732	1281106	0	0	1.242e+09	6064.545	13993.181	9/2/2021 12:35	3948.8957	905321.66	1295999.8	1	5	AB	CD15	LEP	1	0	0	2	1	8	-66.792417	-75636.78	-51578.711	-761.3871	-171.70968	-245329.84	.0136234	.0136234	-.91785334	-1.1503494	-.52752928	-.7626835	-1.1697409	-.82296778
AB_CD15_08dpf_VAST02_plate01_LEP_210902_F06	4.0833333	210902	1	5	11	NR458	21.195909	2	02-sep-2021 12:05:14	5166	1644567.6	1261	0	.00083869	.99916136	.28333333	4	4	F06	3894.5026	1052764.3	0	0	1.549e+09	7562.7571	17659.871	3579.5632	1387934.6	0	0	1.481e+09	7230.007	16160.725	3904.8751	1064697.3	0	0	1.562e+09	7625.1176	17684.414	3595.3652	1405998.5	0	0	1.491e+09	7278.015	16155.479	9/2/2021 2:05	3894.5026	1052764.3	1387934.6	0	1	AB	CD15	LEP	1	0	0	2	1	8	-121.1855	91205.249	64758.113	66.129032	349.54839	506353.06	-.23370064	-.23370064	.7626835	1.3949084	.15041807	1.0043345	.21267695	.21267695
AB_CD15_08dpf_VAST02_plate01_LEP_210902_F07	4.35	210902	1	5	10	NR466	23.123142	2	02-sep-2021 12:21:10	6837	1593422.2	1497	0	.0002289	.99977106	.55	4	4																																		1	5	AB	CD15	LEP	1	0	0	2	1	8				1737.129	585.54839	455207.71							1.6709232	1.6709232
AB_CD15_08dpf_VAST02_plate01_LEP_210902_F08	4.6	210902	1	5	10	NR474	21.297342	2	02-sep-2021 12:36:18	5154	1505282.5	1022	0	.00049509	.99950492	.8	4	4	F08	4238.5071	1070918	0	0	1.509e+09	7368.1104	17102.83	4078.4594	1468444.8	0	0	1.444e+09	7051.6203	15618.952	4227.8531	1072263.8	0	0	1.500e+09	7325.4179	17045.023	4141.4364	1518569.3	0	0	1.495e+09	7301.6287	15747.213	9/2/2021 2:36	4238.5071	1070918	1468444.8	1	5	AB	CD15	LEP	1	0	0	2	1	8	222.81891	-13330.938	-9060.0666	54.129032	110.54839	367068.03	.91785334	.91785334	.91785334	.0136234	.87709547	-.09550585	.18576178	.18576178
AB_CD15_08dpf_VAST02_plate01_LEP_210902_F09	5.0333333	210902	1	5	12	NR482	14.907046	2	02-sep-2021 13:02:06	3599	339941.18	259	0	.00187955	.99812049	1.2333333	2	2	F09	3493.4485	853492.43	0	0	1.314e+09	6415.1862	16938.724	3524.7441	1166351.9	0	0	1.239e+09	6047.3985	14761.842	3509.8342	854599	0	0	1.312e+09	6407.7565	16896.769	3527.6871	1178434.4	0	0	1.256e+09	6135.1083	14809.228	9/2/2021 3:02	3493.4485	853492.43	1166351.9	1	5	AB	CD15	LEP	1	0	0	2	1	8	-522.23969	34970.196	23097.777	-1500.871	-652.45161	-798273.33	-2.1368684	-2.1368684	-1.9240539	.6574843	-2.1368684	.2617966	-2.5580427	-2.5580427
AB_CD15_08dpf_VAST02_plate01_LEP_210902_G01	1.65	210902	1	5	10	NR422	17.240011	1	02-sep-2021 09:39:25	3998	475091.5	290	0	.00313907	.99686098	.36666667	2	2	G01	3823.5363	1030722.7	0	0	1.502e+09	7331.829	17410.196	3724.6203	1204633.2	0	0	1.514e+09	7392.4737	16780.698	3762.186	1092570.8	0	0	1.518e+09	7411.5476	17242.724	3752.8537	1219945.7	0	0	1.534e+09	7488.5967	16822.154	9/2/2021 11:39	3823.5363	1030722.7	1204633.2	1	5	AB	CD15	LEP	1	0	0	2	1	8	-192.15183	94473.912	-86706.117	-985.3871	-104.70968	-174052.41	-.67448975	-.67448975	.52752928	1.4709511	-1.2631877	-1.2048509	-1.4121876	-1.3440031
