filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	pcsk1_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_D03	18	42	0	1	1	0	0	AV019	k1	2753	8242.3723	331	0	.0006853	.99931467	2.5	34	2	3	2	3790.9839	1058087.8	0	0	1.393e+09	6800.0046	15730.039	3736.4532	1419217.5	0	0	1.429e+09	6978.2979	14398.532	3780.821	1061347.7	0	0	1.404e+09	6856.1419	15809.936	3748.7912	1430791.6	0	0	1.457e+09	7116.2083	14527.899	11/30/2021 11:38	3790.9839	1058087.8	1419217.5	1	ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	6.2752372	116032.98	162058.76	-1938.6316	60	-738.57895	-.80188575	.09713517	.47203086	1.9302859	.54852228	2.3685671	-2.2047374	-1.8027431
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_E02	18	42	0	1	.96739946	.03260054	0	AV012	k1	1214	220.3169	0	0	.03447559	.96552438	2.5	79	2	1	1	3288.1925	779023.44	0	0	1.019e+09	4973.7513	13678.782	3273.8954	973061.52	0	0	1.015e+09	4955.5452	12721.54	3319.2745	805700.68	0	0	1.044e+09	5097.1711	13758.477	3265.7413	963939.82	0	0	1.023e+09	4996.669	12858.687	11/30/2021 11:38	3288.1925	779023.44	973061.52	1	ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	-496.51613	32048.753	-27398.291	-3477.6316	-271	-8760.6344	-2.7503931	-2.7503931	-2.7503931	.68388527	-2.7503931	-.47203086	-2.7765153	-2.7765153
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_E03	18	42	1	0	.42709285	.57290715		AV020	k1	6135	12844.737	414	0	.00148355	.9985165	2.5	57	2	4	3	4065.9632	1083538.8	0	0	1.644e+09	8026.9082	18202.695	4031.6707	1458156.7	0	0	1.671e+09	8159.6626	16490.791	4279.5022	1115270.4	0	0	1.691e+09	8255.3349	18340.769	4031.6707	1449752.8	0	0	1.646e+09	8038.3147	16324.162	11/30/2021 11:38	4065.9632	1083538.8	1458156.7		ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	281.25457	34793.654	60607.915	1443.3684	143	3863.786	.40629779	1.3638364	.59241694	.76138261	.76138261	.90948298	.0068864	1.0798258
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_F01	18	42	1	0	0	1	1	AV005	k1	7035	14766.056	457	0	.00019499	.99980503	2.5	58	2	4	4	3775.9135	938578.49	0	0	1.363e+09	6653.4368	16397.454	3765.841	1283378.9	0	0	1.474e+09	7197.4783	15707.446	3995.7144	964298.71	0	0	1.385e+09	6760.3401	16437.306	3796.8882	1277935.8	0	0	1.458e+09	7120.2699	15631.581	11/30/2021 11:38	3775.9135	938578.49	1283378.9	5	ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	-8.795174	2370.9301	33914.3	2343.3684	186	5785.105	-.90948298	.02238248	-.76138261	.15731068	-.42255626	.45541664	.52598145	1.8027431
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_F02	18	42	1	0	1	0		AV013	k1	7001	8469.7466	212	0	.0026818	.99731821	2.5	52	2	3	2																																		ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8				2309.3684	-59	-511.20465							.47138947	1.7368277
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_G01	18	42	.01031478	.98968522	1	0	0	AV006	k1	4946	17163.508	528	0	.00664518	.9933548	2.5	71	2	4	4	3534.4629	812280.27	0	0	1.129e+09	5512.6356	14765.698	3495.2458	1102081.3	0	0	1.204e+09	5878.6017	14178.268	3721.4271	867309.57	0	0	1.154e+09	5634.3146	14751.453	3503.8431	1103068.2	0	0	1.210e+09	5908.6015	14258.881	11/30/2021 11:38	3534.4629	812280.27	1102081.3	1	ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	-250.24575	-30245.875	-24111.279	254.36842	257	8182.5572	-2.3685671	-1.1948571	-2.3685671	-.5572144	-2.0368341	-.40629779	-.76368506	.25761598
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_G02	18	42	0	1	1	0	0	AV014	k1	5781	14156.866	497	0	.00165354	.99834645	2.5	41	2	4	4	3824.5491	998333.13	0	0	1.359e+09	6636.4036	15954.474	3790.5105	1371515.5	0	0	1.459e+09	7123.7101	15126.399	3884.5105	1017832.6	0	0	1.388e+09	6777.2725	16092.094	3828.2656	1360898.4	0	0	1.432e+09	6990.8113	14977.866	11/30/2021 11:38	3824.5491	998333.13	1371515.5	1	ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	39.84046	43255.227	97220.088	1089.3684	226	5175.9148	-.68388527	.31080038	-.06719235	.95557754	.15731068	1.4026733	-.20105018	.85941809
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_H01	18	42			1	0		AV007	k1	2325	2298.8319	55	0	.00749368	.99250633	2.5	65	2	1	1	3990.629	921591.19	0	0	1.324e+09	6466.4563	16158.929	3651.3439	1244140.6	0	0	1.353e+09	6604.7951	14835.523	3721.7928	986130.98	0	0	1.365e+09	6664.0776	16155.66	3678.6603	1244649	0	0	1.339e+09	6539.983	14716.533	11/30/2021 11:38	3990.629	921591.19	1244140.6		ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	205.92033	-97924.733	-114946.48	-2366.6316	-216	-6682.1194	.09713517	1.0288048	-.95557754	-1.6391094	-.74159404	-1.5341205	-2.39803	-2.0699018
ABs_CD15_08dpf_vast01_plate01_pcsk1_210419_1030_W_H02	18	42	1	0	0	1	1	AV015	k1	3987	4265.5635	84	0	.10503777	.89496225	2.5	46	2	1	2	4026.0735	943901.98	0	0	1.307e+09	6382.5193	15680.9	3809.7842	1197216.2	0	0	1.306e+09	6377.2039	14477.505	3912.7827	978385.01	0	0	1.304e+09	6365.7563	15468.689	3830.0152	1201104.1	0	0	1.296e+09	6328.9792	14385.475	11/30/2021 11:38	4026.0735	943901.98	1197216.2	5	ABs	CD15	pcsk1	210419	1	0	0	1	1	1	8	241.36489	-89366.227	-179967.06	-704.63158	-187	-4715.3877	.21806181	1.1948571	-.6651534	-1.5341205	-1.13601	-2.0368341	-1.5285597	-.54186416
ABs_CD15_08dpf_vast01_plate01_pcsk1_210629_1030_W_A01	19	43	1	0	0	1	1	AV021	k1	5689	4535.403	91	0	.1777394	.82226062	2.5	82	7	1	2	4551.3144	1242555.5	0	0	1.736e+09	8478.4288	17687.391	4388.0679	1702409.1	0	0	1.773e+09	8656.5776	15890.472	4589.223	1244140.6	0	0	1.716e+09	8379.8454	17567.763	4480.5219	1691642.5	0	0	1.752e+09	8552.3464	15827.601	11/30/2021 11:38	4551.3144	1242555.5	1702409.1	5	ABs	CD15	pcsk1	210629	1	0	0	1	1	1	8	415.27099	6238.1744	80450.119	364.73684	26.210526	672.62902	2.0368341	1.8419929	1.6391094	.24872769	2.1732447	1.1948571	-.24340418	.40318357
