filename	batch	tank	wtKITA1	nwtKITA1	wtKITA5	nwtKITA5	irs2_dich	index	wt_guide	Intestine_area	Food_fluo	Food_area	AutoFlo	AutoFloProb_1	AutoFloProb_2	tod	n	f_batch	Food_fluo_cat	Food_fluo_cat_all	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	qRNA	line	diet	Exp	date	overfeeding	cholesterol	glucose	VAST	plate	Imaged	age	length_Res	dorsal_area_Res	lateral_area_Res	Intestine_area_Res	Food_area_Res	Food_fluo_Res	intlength	intlength_Res	intdorsal_area	intdorsal_area_Res	intlateral_area	intlateral_area_Res	intIntestine_area	intIntestine_area_Res
ABs_CD15_08dpf_vast01_plate01_irs2_210706_1000_W_A02	15	29	.16332897	.83667103	1	0	0	AW009	k1	3752	10848.204	306	0	.00145639	.99854362	2	1	1	2	3	3774.4519	905082.4	0	0	1.269e+09	6195.149	15817.082	3713.539	1161716.3	0	0	1.231e+09	6010.5368	13874.125	3813.1347	924611.82	0	0	1.276e+09	6230.5241	15757.361	3708.0101	1178613.9	0	0	1.245e+09	6080.7352	13952.759	11/30/2021 11:23	3774.4519	905082.4	1161716.3	1	ABs	CD15	irs2	210706	1	0	0	1	1	1	8	-175.56021	-19107.08	-53883.892	-864.86111	-13.814539	-150.7138	-.76938184	-.76938184	-.88714656	-.35178434	-1.2581616	-.66143508	-.97765644	-.68050745
ABs_CD15_08dpf_vast01_plate01_irs2_210706_1000_W_A05	15	29	1	0	0	1	1	AW032	k1	6819	15740.046	513	0	.00048948	.99951053	2	3	1	4	4	4515.5486	1256671.8	0	0	1.912e+09	9334.8104	19142.821	4367.1453	1653540.6	0	0	1.909e+09	9321.3843	17030.251	4528.4849	1269741.2	0	0	1.901e+09	9284.24	18990.565	4362.3283	1661795	0	0	1.932e+09	9432.5446	17175.464	11/30/2021 11:24	4515.5486	1256671.8	1653540.6	5	ABs	CD15	irs2	210706	1	0	0	1	1	1	8	565.53649	15428.702	-5774.2478	2202.1389	193.18546	4741.1281	2.0368341	2.0368341	1.6866708	.2425767	1.6866708	-.28584087	1.0413569	1.6485657
ABs_CD15_08dpf_vast01_plate01_irs2_210706_1000_W_A06	15	29	1	0	1	0		AW039	k1	2924	3234.8056	76	0	.06747909	.93252099	2	4	1	1	1	3824.5491	949584.35	0	0	1.386e+09	6766.0614	16387.147	3625.9833	1251856.7	0	0	1.399e+09	6828.8988	14339.623	3845.7913	944230.96	0	0	1.383e+09	6751.7824	16440.817	3735.9408	1255415.6	0	0	1.405e+09	6858.8849	14346.915	11/30/2021 11:24	3824.5491	949584.35	1251856.7		ABs	CD15	irs2	210706	1	0	0	1	1	1	8	-125.46296	3962.4289	6261.904	-1692.8611	-243.81454	-7764.1126	-.46536979	-.46536979	-.22111871	.07317524	-.31863936	-.07317524	-1.7281046	-1.1834238
ABs_CD15_08dpf_vast01_plate01_irs2_210706_1000_W_B01	15	30	1	0				AW002	k1	5197	20756.13	618	0	.00037429	.99962568	2	5	1	4	4	3856.1242	978474.73	0	0	1.324e+09	6462.5243	15601.648	3850.4699	1320284.4	0	0	1.387e+09	6773.7973	14453.538	3840.188	988344.12	0	0	1.314e+09	6417.9752	15513.935	3840.188	1328927.6	0	0	1.404e+09	6855.5057	14517.204	11/30/2021 11:24	3856.1242	978474.73	1320284.4		ABs	CD15	irs2	210706	1	0	0	1	1	1	8	-93.664345	19344.472	55784.795	580.13889	284.00738	9482.4644	-.30767015	-.30767015	.01044447	.41929575	.11514104	.53642238	-.07661315	.37195861
ABs_CD15_08dpf_vast01_plate01_irs2_210706_1000_W_B02	15	30	.05242319	.94757681	1	0	0	AW010	k1	4138	818.18976	0	0	3.034e-06	.99999702	2	6	1	1	1	3705.287	786440.43	0	0	1.014e+09	4951.6717	13551.247	3550.4362	1024083.3	0	0	1.021e+09	4985.8153	12269.001	3716.4371	795921.02	0	0	1.027e+09	5014.3496	13606.74	3533.7647	1033833	0	0	1.029e+09	5025.7773	12305.869	11/30/2021 11:24	3705.287	786440.43	1024083.3	1	ABs	CD15	irs2	210706	1	0	0	1	1	1	8	-244.50153	-108159.16	-150106.06	-478.86111	-333.99262	-10455.476	-1.2133396	-1.2133396	-2.6382573	-2.0368341	-1.8931845	-1.5341205	-.60981444	-.39254375
ABs_CD15_08dpf_vast01_plate01_irs2_210706_1000_W_B03	15	30	0	1	1	0	0	AW018	k1	5198	18945.244	558	0	.00166075	.99833918	2	7	1	4	4	3929.509	992471.31	0	0	1.327e+09	6480.6594	15525.234	3927.0233	1400884.4	0	0	1.440e+09	7030.0512	14409.993	3934.4074	1005959.5	0	0	1.345e+09	6569.0652	15605.247	3922.3292	1415957.6	0	0	1.464e+09	7146.8195	14512.728	11/30/2021 11:24	3929.509	992471.31	1400884.4	1	ABs	CD15	irs2	210706	1	0	0	1	1	1	8	-20.279478	1945.7797	92447.261	581.13889	224.00738	7671.5788	.07317524	.07317524	.13619558	-.01044447	.63565701	1.2581616	-.05743526	.39254375
ABs_CD15_08dpf_vast01_plate01_irs2_210706_1000_W_B04	15	30	1	0	0	1	1	AW025	k1	4859	15937.056	444	0	.00325215	.99674785	2	8	1	4	4																																	5	ABs	CD15	irs2	210706	1	0	0	1	1	1	8				242.13889	110.00738	4663.3905							-.21205892	.15367931
ABs_CD15_08dpf_vast01_plate01_irs2_210706_1000_W_B05	15	30	.0412653	.9587347	1	0	0	AW033	k1	4621	6138.2873	180	0	.00659877	.99340123	2	9	1	1	2	3889.6693	1009159.5	0	0	1.402e+09	6847.5133	16236.044	3899.9703	1345944.8	0	0	1.482e+09	7236.1255	15081.481	3911.1351	1021929.9	0	0	1.420e+09	6935.6638	16304.619	3887.8005	1348068.2	0	0	1.488e+09	7265.8876	15140.304	11/30/2021 11:24	3889.6693	1009159.5	1345944.8	1	ABs	CD15	irs2	210706	1	0	0	1	1	1	8	-60.119172	35678.1	61360.791	4.1388889	-153.99262	-5135.3783	-.15731068	-.15731068	.32964705	.58531886	.30767015	.68766039	-.33124688	0
ABs_CD15_08dpf_vast01_plate01_irs2_210706_1000_W_B06	15	30	0	1	1	0	0	AW040	k1	3501	5521.4441	161	0	.07219481	.92780524	2	10	1	1	2	3610.7171	807704.47	0	0	1.035e+09	5052.8038	13695.619	3478.2325	983917.85	0	0	1.024e+09	5001.8848	12641.511	3557.0004	821372.07	0	0	1.037e+09	5065.1828	13601.877	3476.0306	991574.1	0	0	1.050e+09	5128.4061	12886.588	11/30/2021 11:24	3610.7171	807704.47	983917.85	1	ABs	CD15	irs2	210706	1	0	0	1	1	1	8	-339.07143	-46436.533	-133649.9	-1115.8611	-172.99262	-5752.2215	-1.8931845	-1.8931845	-2.0368341	-.82683016	-2.6382573	-1.4106992	-1.3080991	-.78046962
ABs_CD15_08dpf_vast01_plate01_irs2_210706_1000_W_C01	15	31			1	0		AW003	k1	3799	11677.336	256	0	.00561838	.99438161	2	11	1	3	3	3932.6511	914114.38	0	0	1.226e+09	5987.0414	15095.967	3752.2361	1212618.4	0	0	1.243e+09	6067.0539	13683.751	3824.7641	910106.81	0	0	1.217e+09	5944.4609	15041.24	3741.7801	1222996.2	0	0	1.259e+09	6147.8333	13749.85	11/30/2021 11:24	3932.6511	914114.38	1212618.4		ABs	CD15	irs2	210706	1	0	0	1	1	1	8	-17.13021	-77755.379	-97699.966	-817.86111	-73.792634	400.86518	.11514104	.11514104	-.68766039	-1.1708311	-.56070303	-1.0916204	-.88892051	-.60981444
