filename	date	plate	batch	tank	index	line	diet	Exp	overfeeding	cholesterol	glucose	VAST	Wellfolder	age	Imaged	protein	ldl	gluc	tc	tg	freeze_dried	pos_bio	batch_bio	pcsk1_nwt	pcsk1_dich	qRNA	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	ROI_edge	PostCheckValid	NrLipids	LiverRefinedArea	LipidArea	AverageLipidsIntensity	AverageLipidsBGIntensity	bld	bodyfat	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	tod	length_Res	dorsal_area_Res1	lateral_area_Res1	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	NrCells_Res1	Volume_Res1	CellVolume_Av_Res1	CellVolume_Stdev_Res1	CellInt_Av_Res1	CellInt_Stdev_Res1	IV_Res1	ISA_Res1	IED_Res1	IPAL1_Res1	IPAL2_Res1	IPAL3_Res1	NrLipids_Res1	LiverRefinedArea_Res1	intlength	intdorsal_area	intlateral_area	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3	intNrLipids	intLiverRefinedArea	intldl	inttg	inttc	intgluc
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_210108_1400_W_E10	210108	1	8	35	AP120	insH2Bfabp	CD15	pcsk1	1	0	0	1	210108_1400_E10	10	1	8.671258	1.4292432	.72937674	.170148	.5455912	0	22	16	1	1	2	430541	6624	10654	13	4	65	1	2364264	141217	117	216	150	80	0	1	169	99868	13396	53.59257	74.475004	0	0	3883.0012	979282.23	0	0	1.523e+09	7438.3512	17607.135	3840.7799	1353302	0	0	1.623e+09	7926.8854	16210.985	3873.7438	986579.59	0	0	1.525e+09	7444.5121	17565.256	3836.2297	1358147	0	0	1.637e+09	7992.9949	16250.22	1/18/2021 2:14	3883.001	979282.3	1353302	6	-94.26617	16398.57	60519.55	-.1743104	-.3506143	.2193832	.2128546	-.1272447	-.2533893	.2526163	.3628082	31.07027	178442.8	-1155.26	2873.173	-14.44422	-2.192385	948401.4	60011.79	22.53333	47.81173	24.36084	19.62667	7	-11688.77	-.3015001	.0475369	.2298841	1.790751	1.644854	-.6331026	1.095418	-1.989313	-1.340755	1.226528	1.644854	1.281552	1.050837	1.080319	1.989313	.2492189	-.0733981	.5800146	-.8501565	-1.085925	1.323364
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_210108_1400_W_E11	210108	1	8	32	AP128	insH2Bfabp	CD15	pcsk1	1	0	0	1	210108_1400_E11	10	1	8.299954	1.191036	.3964004	.340296	.7014744	0	30	16	1	1	2																138	65849	12842	122.81772	175.22813	0	0	3691.8964	947251.59	0	0	1.375e+09	6712.6247	16202.982	3637.3108	1260559.7	0	0	1.504e+09	7344.4445	15545.019	3676.1758	958646.24	0	0	1.377e+09	6723.4398	16160.48	3632.3041	1269920.7	0	0	1.512e+09	7384.7938	15553.088	1/18/2021 2:41	3691.896	947251.6	1260560	6	-289.1137	70481.49	84071.45	-.0047274	-.1873832	-.1180906	-.0433162	.0546386	-.0649152	-.0762435	.1455079													-24	-45707.77	-.897095	-.2154918	-.2919368													-.3046427	-1.321994	.2533471	-.0119366	-.2669941	-.9674216
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_210108_1400_W_F10	210108	1	8	30	AP121	insH2Bfabp	CD15	pcsk1	1	0	0	1	210108_1400_F10	10	1	13.12691	1.5653616	.50739251	.510444	.7014744	0	23	16	.9374586	1	2																132	75481	10172	81.410971	118.47251	0	0	3621.506	908940.43	0	0	1.318e+09	6437.7365	15958.663	3609.7106	1220932.6	0	0	1.407e+09	6868.1785	15072.325	3639.941	920424.8	0	0	1.321e+09	6451.4813	15942.647	3588.3169	1231729.1	0	0	1.425e+09	6960.3757	15137.24	1/18/2021 2:17	3621.506	908940.4	1220933	6	-397.5073	61198.98	91693.85	.165915	-.1938126	-.0031632	.3467275	.1602315	-.2055171	-.0071608	.328689													-30	-36075.77	-1.124824	-.45475	-.4727891													-.418568	-.8627083	.8674157	-.0119366	.7010792	-.1136392
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_210108_1400_W_F11	210108	1	8	33	AP129	insH2Bfabp	CD15	pcsk1	1	0	0	1	210108_1400_F11	10	1	12.10582	.0340296	.38054438	.0680592	1.7926568	0	31	16	.9903331	1	2																							4034.0326	1030064.7	0	0	1.562e+09	7625.8746	17430.022	3959.4694	1442934	0	0	1.689e+09	8249.0819	16182.032	4047.0561	1044210.8	0	0	1.565e+09	7639.7639	17383.955	3937.9595	1451218.3	0	0	1.708e+09	8338.0667	16248.08	1/18/2021 2:46	4034.033	1030065	1442934	6	-42.79745	2070.35	60863.3	-.2770348	.9047177	-.1345088	-1.202568	-.2625828	.9344335	-.1243635	-1.156788															.276726	.3390167	.4727891															-2.344598	2.0251	-2.342817	-1.110772
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_210108_1400_W_G10	210108	1	8	32	AP122	insH2Bfabp	CD15	pcsk1	1	0	0	1	210108_1400_G10	10	1	11.17756	1.1570064	.42811243	.340296	.5455912	0	24	16	1	1	2	209883	8745	8906	23	6	24	1	1293945	69103	94	150	100	66	0	1	78	63728	6161	51.706534	76.295461	0	0	3566.0444	888394.17	0	0	1.298e+09	6339.5279	15955.223	3594.9826	1208939.8	0	0	1.417e+09	6918.9917	15179.89	3594.317	897037.35	0	0	1.306e+09	6377.6509	15985.888	3580.077	1212857.7	0	0	1.429e+09	6978.4747	15228.81	1/18/2021 2:21	3566.044	888394.2	1208940	6	-414.9658	63432.95	103079.4	-.0043036	-.3487774	-.0830055	-.0638731	.0144964	-.3099504	-.0697345	-.0039922	-9.929729	-42215.25	965.74	1125.173	-5.936659	-.7283201	-121917.6	-12102.21	-.4666667	-17.38764	-17.02434	5.626667	-84	-47828.77	-1.355195	-.6486143	-.5974017	-.7949086	-.2619846	.6956203	.6331026	-.6640369	-.227545	-.0585214	-.4215776	-.0668933	-.5828415	-1.065463	.5533847	-1.321994	-1.590589	.1558003	-.8501565	-.2669941	-.7201566
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_210108_1400_W_G11	210108	1	8	34	AP130	insH2Bfabp	CD15	pcsk1	1	0	0	1	210108_1400_G11	10	1	15.16908	2.211924	.50739251	.4764144	.7014744	0	32	16	.1847044	0	1	404266	10107	10357	36	7	40	1	2028040	107688	119	195	121	73	0	1	243	172036	20845	90.646848	124.99253	0	1	4386.0602	1318340.5	0	0	1.962e+09	9580.4621	18946.256	4305.0318	1743980.1	0	0	2.100e+09	10255.416	17827.562	4398.5208	1332038	0	0	1.968e+09	9611.2712	18920.401	4299.328	1747868	0	0	2.106e+09	10284.654	17842.151	1/18/2021 2:47	4386.06	1318341	1743980	6	265.1531	120012.8	129077.5	.1312498	-.1855462	-.0082229	.9730809	.1097423	-.2300945	-.0234606	.9043274	6.070271	152167.8	2327.74	2576.173	8.445704	.9405827	612177.4	26482.79	24.53333	26.38651	-2.741132	12.62667	81	60479.23	1.147476	1.602683	1.48044	.8297738	1.475791	1.300781	.9808501	.6744897	.2967378	1.008252	1.008252	1.340755	.6640369	-.0250689	1.158484	1.124884	1.424661	2.128045	-.0119366	.5409867	-.1136392
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_210108_1400_W_H10	210108	1	8	33	AP123	insH2Bfabp	CD15	pcsk1	1	0	0	1	210108_1400_H10	10	1	20.36734	2.1778944	.55496056	.1361184	.779416	0	25	16	.2472389	0	1	280658	9053	10701	17	5	31	1	1646150	89000	108	180	115	66	0	1	220	200610	21107	94.141715	125.76331	0	0	4371.6696	1303656	0	0	1.945e+09	9496.764	18914.21	4267.6438	1762462.8	0	0	2.078e+09	10148.077	17623.161	4416.3297	1315499.3	0	0	1.961e+09	9575.0084	18962.978	4222.5692	1763778.7	0	0	2.104e+09	10271.486	17752.764	1/18/2021 2:24	4371.669	1303656	1762463	6	294.8393	114688.4	160946.9	-.2085519	-.1140341	.0432805	.9547694	-.2995861	-.3019989	-.0209614	.6648974	-2.929728	28559.75	1273.74	2920.173	-8.752834	-.9021923	230287.4	7794.793	13.53333	12.51525	-4.274059	5.626667	58	89053.23	1.039487	1.561171	1.642538	-.0167116	.5927726	.9541653	1.126391	-1.361571	-.7949086	.5148374	.3853205	.7609839	.349563	-.3406948	.5533847	.9222792	2.083189	1.93999	.2471891	-1.396116	.2410404
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_210108_1400_W_H11	210108	1	8	35	AP131	insH2Bfabp	CD15	pcsk1	1	0	0	1	210108_1400_H11	10	1	10.89908	1.020888	.50739251	.1361184	.5455912	0	33	16	1	1	2	190933	7072	5659	38	7	27	1	1073844	68751	82	161	131	55	0	1						0	0	3626.3751	861148.68	0	0	1.341e+09	6547.4126	16683.267	3484.8341	1122567.7	0	0	1.383e+09	6752.3303	15325.918	3565.9647	825260.01	0	0	1.272e+09	6210.3768	16316.488	3500.2093	1118261.1	0	0	1.370e+09	6690.0159	15264.562	1/18/2021 2:51	3626.375	861148.7	1122568	6	-350.8924	7568.657	-21207.61	-.2091169	-.3405109	-.0087851	-.2202005	-.178158	-.276752	.0129919	-.1219361	-6.929729	-61165.25	-707.26	-2121.827	10.55578	.8076146	-342018.6	-12454.21	-12.46667	-7.188276	5.360842	-5.373333			-1.102735	-1.081172	-1.188974	-.4676988	-.6956203	-.3142472	-.6331026	.853588	.2967378	-.4583978	-.4770404	-.9153651	-.1594259	.4491363	-.8064212			-.0956362	-.8501565	-1.396116	-.1136392
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_210108_1500_W_A01	210108	1	8	30	AP134	insH2Bfabp	CD15	pcsk1	1	0	0	1	210108_1500_A01	10	1	13.21973	.85074	.47568048	.4083552	.9352992	0	36	16	.1733545	0	1	179534	6412	6339	23	5	28	1	14	27	3	6	2	2	0	1	125	89059	11280	58.32601	89.593339	0	0	3577.3819	860191.65	0	0	1.169e+09	5708.4514	14763.957	3533.7647	1165694	0	0	1.281e+09	6257.0388	14035.213	3577.6327	867967.53	0	0	1.182e+09	5769.1359	14829.529	3501.384	1167458.5	0	0	1.285e+09	6274.6772	14050.388	1/18/2021 3:12	3577.382	860191.6	1165694	7	-441.6315	30466.73	61016.13	.0629081	.0519526	-.0421837	-.3970849	.0688177	.0639353	-.0381073	-.3786884	-5.929729	-72564.25	-1367.26	-1441.827	-4.625547	-1.275916	-1415849	-81178.2	-91.46667	-161.5699	-118.9845	-58.37333	-37	-22497.77	-1.270823	-1.102735	-.8994349	-.3584588	-.9027348	-.6956203	-.367383	-.6640369	-.7949086	-2.128045	-2.216363	-2.216363	-2.053749	-2.216363	-2.053749	-.5459412	-.3046427	-.4972006	.6374841	.1141853	-.3406948
InsH2Bfabp_CD15_10dpf_vast01_plate01_pcsk1_210108_1500_W_A02	210108	1	8	34	AP142	insH2Bfabp	CD15	pcsk1	1	0	0	1	210108_1500_A02	10	1	31.59928	1.8035688	.68180869	.6125328	1.4808904	0	44	16	.1933214	0	1	346609	7074	5626	26	6	49	1	2674724	129843	104	225	206	64	0	1	144	139646	10219	132.45555	163.43368	14.4201	0																																	7				.2665206	.6048918	.159447	.5377804	.0586292	.1752899	.0125889	-.1248679	15.07027	94510.75	-705.26	-2154.827	-1.554296	-.0594173	1258861	48637.79	9.533334	56.38651	82.25887	3.626667	-18	28089.23				1.158484	1.095418	-.2967378	-.6744897	-.1933732	-.227545	1.583387	1.427856	.5436728	1.340755	2.216363	.349563	-.2492189	.8435227	1.367628	1.323364	1.239093	1.067571
