filename	date	batch	index	condition	tank	line	VAST	plate	Wellfolder	age	Imaged	protein	ldl	gluc	tc	tg	freeze_dried	pos_bio	batch_bio	Anders_batch	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	ROI_edge	PostCheckValid	NrLipids	LiverRefinedArea	LipidArea	AverageLipidsIntensity	AverageLipidsBGIntensity	bld	bodyfat	numberadipocytes	opercular	abdominal	cardiac	pectoral	Length_1_1	Area_1_1	Border_1_1	Border_size_1_1	BodyPigm_Total_1_1	BodyPigm_Average_1_1	BodyPigm_Stdev_1_1	Length_1_4	Area_1_4	Border_1_4	Border_size_1_4	BodyPigm_Total_1_4	BodyPigm_Average_1_4	BodyPigm_Stdev_1_4	Length_1_7	Area_1_7	Border_1_7	Border_size_1_7	BodyPigm_Total_1_7	BodyPigm_Average_1_7	BodyPigm_Stdev_1_7	Length_1_10	Area_1_10	Border_1_10	Border_size_1_10	BodyPigm_Total_1_10	BodyPigm_Average_1_10	BodyPigm_Stdev_1_10	Date	length	dorsal_area	lateral_area	AreaEye	tod	length_Res	dorsal_area_Res1	lateral_area_Res1	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	NrCells_Res1	Volume_Res1	CellVolume_Av_Res1	CellVolume_Stdev_Res1	CellInt_Av_Res1	CellInt_Stdev_Res1	IV_Res1	ISA_Res1	IED_Res1	IPAL1_Res1	IPAL2_Res1	IPAL3_Res1	NrLipids_Res1	LiverRefinedArea_Res1	intlength	intdorsal_area	intlateral_area	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3	intNrLipids	intLiverRefinedArea	intAreaEye	intldl	inttg	inttc	intgluc
InsH2Bfabp_food_10dpf_vast01_plate02_201122_1400_W_G04	201122	3	AM243	B	6	insH2Bfabp	1	2	201122_1400_G04	10	1	8.7917213	.4764144	.74523275	.5444736	1.94854	0	47	5																	179	101526	15325	68.129125	93.323072	0	0	0	0	0	0	0	4178.558	1074536.7	0	0	1.839e+09	8981.0427	19979.707	4071.6304	1439704	0	0	1.858e+09	9074.0243	17591.845	4239.9886	1096518.6	1	7	1.873e+09	9143.5442	20118.453	4066.1655	1445685.4	0	0	1.873e+09	9147.0679	17673.976	11/25/2020 3:06	4178.558	1074536.7	1439704	3464	6	182.5909	44894.813	34005.055	.17742484	.75098833	.12353828	-.01070486	.16944053	.74506836	.1239828	-.01327703													79.919344	33365.666	.68654989	.82671795	.68074676													1.3132732	.92931228	1.1051585	-.7295944	1.2728219	.28364116	.96742157
InsH2Bfabp_food_10dpf_vast01_plate02_201122_1400_W_G05	201122	3	AM250	B	6	insH2Bfabp	1	2	201122_1400_G05	10	1	16.899442	.680592	.71352072	.6465624	.4676496	0	5	6		136753	6512	4981	48	11	21	1	588792	44598	78	142	76	49	0	1	90	55976	8564	82.607261	105.06124	0	0	0	0	0	0	0	3852.0541	885253.91	0	0	1.513e+09	7388.4233	18434.138	3687.5599	1149304.8	0	0	1.450e+09	7079.11	15920.128	3881.291	880319.21	0	0	1.505e+09	7346.3483	18415.101	3687.2517	1136085.8	0	0	1.457e+09	7116.2033	16093.751	11/25/2020 3:30	3852.0541	885253.91	1149304.8	3140	6	-143.91302	-5253.4444	-65913.89	.29380971	-.61752315	.17399874	.30557316	.24952889	-.7284615	.14597343	.21926963	-8.2818678	-71290.092	-833.06873	-1924.8871	11.886256	3.0265158	-369052.04	-17914.125	-2.7648253	-13.847683	-27.924663	-5.8896201	-9.0806563	-12184.334	-.62719053	-.53651445	-.95951059	-.92998094	-1.4479929	-.51756486	-.99641691	1.4853892	1.311842	-1.2708234	-1.3260168	-.86211254	-.63402217	-1.4012563	-1.1503494	.11877383	-.33426206	.54543475	-.13576683	-1.176248	.84362962	.84312299
InsH2Bfabp_food_10dpf_vast01_plate02_201122_1400_W_G06	201122	3	AM258	B	6	insH2Bfabp	1	2	201122_1400_G06	10	1	12.617837	.85074	.53910454	.2041776	.6235328	0	13	6																													3569.1503	844998.78	0	0	1.424e+09	6952.0234	17795.286	3565.8305	1111831.1	0	0	1.483e+09	7240.0626	16333.608	3572.9399	832647.09	0	0	1.406e+09	6867.0379	17727.54	3571.9144	1108062.7	0	0	1.475e+09	7200.8576	16278.529	11/25/2020 3:56	3569.1503	844998.78	1111831.1	2691	6	-426.81687	65898.121	49132.108	-.15098044	-.48847783	-.01711295	.45680032	-.16563313	-.52344236	-.01761794	.44945724															-1.7071926	-1.0010681	-1.2102305															-.39269407	.30525978	-.74912559	-1.3457883	-.18358155
InsH2Bfabp_food_10dpf_vast01_plate02_201122_1400_W_H04	201122	3	AM244	C	7	insH2Bfabp	1	2	201122_1400_H04	10	1	6.7875656	.9187992	.44396845	.6465624	1.4029488	0	48	5		188206	7239	7180	37	7	26	1	992592	60079	95	132	98	69	0	1	148	98955	9917	87.792107	105.15198	0	0	0	0	0	0	0	3934.0425	959364.01	1	3	1.641e+09	8011.7414	19087.038	3946.3805	1333443.6	1	14	1.683e+09	8217.1085	16828.82	3943.822	967588.5	0	0	1.665e+09	8128.9966	19247.521	3912.1788	1335417.5	1	14	1.701e+09	8303.7139	16960.779	11/25/2020 3:09	3934.0425	959364.01		2791	6	-119.71213	23795.417		.25344425	.09339947	-.14765578	.38941372	.26530911	.12460115	-.13321524	.43378899	-2.146029	-19498.853	-161.97291	422.40515	.88625592	-.97348416	-43302.342	-5706.1429	7.1689846	-25.654861	-11.586405	12.431408	52.835182	25748.654	-.25631201	.06222748		-.14372923	-.18608137	.10163346	.42418819	.16709083	-.47460143	.01188003	-.33901669	.61238304	-1.0497374	-.64861435	1.6402099	.97228438	.84813348	-.15558058	.44297473	.47940201	.84362962	-.88909955
InsH2Bfabp_food_10dpf_vast01_plate02_201122_1400_W_H05	201122	3	AM251	C	7	insH2Bfabp	1	2	201122_1400_H05	10	1	39.673939	.1361184	.50739251	.4764144	.5455912	0	6	6		334617	9044	9527	31	8	37	1	2078563	107334	108	227	134	52	0	1	66	66296	4130	103.74774	125.28123	14.420097	0	0	0	0	0	0	4452.4224	1167637.9	0	0	2.067e+09	10091.346	21262.741	4268.7789	1592649.5	0	0	2.014e+09	9831.8699	18081.848	4458.6548	1173828.7	0	0	2.078e+09	10144.291	21274.704	4267.8154	1607991.9	0	0	2.025e+09	9885.8096	18090.892	11/25/2020 3:33	4452.4224	1167637.9	1592649.5	3713	6	398.66771	1381.3145	-10939.039	.09759233	-.65157921	-.00205923	-.28116666	-.10542882	-1.1808815	-.17922421	-.78563449	8.853971	126912.15	1643.0271	2769.4052	-5.1137441	.02651584	1042668.7	41548.857	20.168985	69.345139	24.413595	-4.5685916	-29.164818	-6910.3459	1.7958456	1.4712579	1.5757676	1.1918162	2.1280452	1.1445854	1.2418668	-.67822297	.04753692	2.027082	1.9420363	1.6245175	2.1299547	1.2842568	-.75221283	-.41246313	.01823103	1.5860531	-1.4007451	-.94798468	-.10050449	-.46175405
InsH2Bfabp_food_10dpf_vast01_plate02_201122_1400_W_H06	201122	3	AM269	C	7	insH2Bfabp	1	2	201122_1400_H06	10	1	22.911909	.4083552	.53910454	.2041776	1.4029488	0	24	6																	99	53927	6254	108.42934	113.01342	15.268338	0	0	0	0	0	0	4447.1833	1184894.4	0	0	2.073e+09	10120.415	21175.187	4340.9407	1589748.5	0	0	2.004e+09	9782.9468	18097.341	4376.1073	1186090.7	0	0	2.062e+09	10068.78	21059.176	4254.568	1597853.4	0	0	2.032e+09	9921.2793	18262.12	11/25/2020 3:57	4447.1833	1184894.4	1589748.5	3784	6	393.42867	21111.901	-10452.885	-.18005653	.14539318	-.00791209	-.05150175	-.26503707	-.08193219	-.07622486	-.24450345													3.8351822	-19279.346	1.7071926	1.7498009	1.5422376													.31025949	-.45249963	1.7721863	-.96648641	.47940201	-1.3457883	-.18358155
InsH2Bfabp_food_10dpf_vast01_plate03_201118_1630_W_A07	201118	2	AM302	D	4	insH2Bfabp	1	3	201118_1630_A07	10	1	8.0122562	.5444736	.4915365	.4083552	1.4029488	0	8	7																																																														8.5				.03038379	.2615371	-.11744635	.03657001	.08164496	.39943954	-.05381491	.19361176																																	-.50993332	.47940201	-.46118913	-.57007409
InsH2Bfabp_food_10dpf_vast01_plate03_201118_1630_W_A08	201118	2	AM122	D	4	insH2Bfabp	1	3	201118_1630_A08	10	1	11.373888	.5444736	.50739251	.3062664	1.3250072	0	24	3		176374	8017	6646	34	8	22	1	1140092	75015	82	165	129	62	0	1	78	77462	3742	78.345776	95.001396	0	1	1	0	1	0	0																																		8.5				-.24809751	-.24194557	-.0498707	-.14879684	-.25610901	-.27993362	-.05395513	-.17690514	-9.6856943	-43120.335	746.70231	120.39765	-2.1137441	.0020362	-58098.384	-1011.5637	-8.9284186	.58407267	9.4549079	3.579286	-19.884365	-15665.805				-.77541371	-.47704043	.5870906	.16184417	-.19728835	.04753692	.37701678	.54909772	-.44161508	.25825705	.9995351	.78459288	-.24864375	.34391649		-.50993332	.36422999	-.91890346	-.46175405
InsH2Bfabp_food_10dpf_vast01_plate03_201118_1630_W_B07	201118	2	AM115	A	1	insH2Bfabp	1	3	201118_1630_B07	10	1	6.5715567	.1020888	.4915365	.510444	1.0911824	0	17	3		162768	6511	4944	46	9	25	1	800631	56810	86	131	106	53	0	1	127	71377	13130	98.9492	137.90376	0	0	0	0	0	0	0																																		8.5				-.03861447	-.48128392	-.05918284	-.46763877	-.025137	-.45837251	-.04407008	-.441294	-5.8374815	-56616.41	-843.69751	-1931.2267	9.8862559	1.0020362	-439599.54	-18039.961	-5.3445718	-32.434492	-12.323088	-4.8552808	17.02913	-22025.114				-.32807211	-.72015662	-.53126076	-1.0364334	1.2576156	.54220437	-.54909772	-.50811256	-.11309832	-1.0918899	-.22766689	-.6151411	.68309715	.1833219		-1.6009097	.07027147	.0934302	-.57007409
InsH2Bfabp_food_10dpf_vast01_plate03_201118_1630_W_B09	201118	2	AM128	A	1	insH2Bfabp	1	3	201118_1630_B09	10	1	9.1328002	.510444	.42811243	.2722368	1.169124	0	30	3		181469	6258	5906	51	10	29	1	1111489	62912	91	169	98	49	0	1	109	57352	7337	89.550914	94.391146	0	0	0	0	0	0	0																																		8.5				-.28073037	-.44695386	-.1497371	-.09002993	-.28771331	-.47556224	-.15257328	-.11404961	-1.8374815	-37915.41	-1096.6975	-969.22673	14.886256	2.0020362	-128741.54	-11937.961	-.34457183	5.5655083	-20.323088	-8.8552808	-.97087015	-36050.114				.2533471	-.32178042	-.85015648	-.35973192	1.7206847	.97058786	.28909086	-.22766689	.32020205	.35795212	-.64861435	-1.1503494	.41246313	-.27695041		-.61923072	.18536702	-1.0626927	-1.0162217
