barcode	arid5b_D	arid5b_G	mc4r_D	mc4r_G	negr1_D	negr1_G	pcsk1_D	pcsk1_G	filename_zebrafish	bin_liver	obj_liver	bin_beta	obj_beta	protein	ldl	tc	tg	gluc	Löpnr	pos_bio	batch_bio	area_insexpr	bld	bodyfat	N_beta_cells	beta_cell_volume	mean_mean_insexpr	LiverArea	NrofSpots	batch	tod	annotationquality_lipids	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	ROI_edge	AnnotationQuality_bc_moving	AnnotationQuality_bc_cut	length	Border_size_length	dorsal_area	lateral_area	Border_size_lateral	NrLipids	LiverRefinedArea	LipidArea	AverageLipidsIntensity	AverageLipidsBGIntensity	age	Imaged	Exp	line	energy	cholesterol	glucose	tank	n	lepr_D	lepr_G	pomca_D	pomca_G	pomcb_D	pomcb_G	sec16b_D	sec16b_G	lepr_homo	mc4r_homo	negr1_homo	pcsk1_homo	pomca_homo	sec16b_homo	score1	hdl	length_Res	dorsal_area_Res	lateral_area_Res	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	N_beta_cells_Res1	beta_cell_volume_Res1	NrCells_Res1	Volume_Res1	CellVolume_Av_Res1	CellVolume_Stdev_Res1	CellInt_Av_Res1	CellInt_Stdev_Res1	IV_Res1	ISA_Res1	IED_Res1	IPAL1_Res1	IPAL2_Res1	IPAL3_Res1	NrofSpots_Res1	LiverArea_Res1	NrLipids_Res1	LiverRefinedArea_Res1	LipidArea_Res1	AverageLipidsIntensity_Res1	beta_cell_volume_Res2	mean_mean_insexpr_Res1	mean_mean_insexpr_Res2	inttc	inttg	intgluc	intldl	intlength	intdorsal_area	intlateral_area	intN_beta_cells	intbeta_cell_volume	intmean_mean_insexpr	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3	intNrofSpots	intLiverArea	intNrLipids	intLiverRefinedArea	intLipidArea	intAverageLipidsIntensity
1042	0	0	.66	1	.66	1	0	0	OB_Mix1_181201_10dpf_tank25_1010_plate40_d01	0	0	0	0						264	19	6	8760.194	0	0	25	30628	11.5544	10359	173	48	2	0	127596	4116	3127	103	19	31	1	885836	59972	79	162	120	41	0			3577.4571	14	960410.77	1259034.4	29	172	89515	12693	92.400566	117.68017	10	1	OB_POP1	insH2B_lfabp	1	0	0	25	21	0	0	0	0	0	0	1	1	0			0	0		2.32		-214.0438	15778.11	-49412.77									-8.513679	-12162.76	3.891028	-2647.192	-722.8454	-747.7357	13.66387	-1.940396	-26432	4422.742	-3.74573	6.96454	3.16584	-8.166231	49.34215	-878.2585	28.1803	1027.284	1440.238	-8.726829	-6122.405	1.644164	2.581949					-2.095674	-1.018725	-1.361691	-.4703636	-1.244336	-.1977251	.1232631	-.3522063	-.7122004	-.4033254	1.050746	-.4848817	-.6110911	-.3186394	-.7599502	.2550014	.0440604	-1.580799	.6965074	-.635657	.8997149	-.6992125	.8225484	-.3326788
1247	1	1	1.32	2	1.66	2	1	1	OB_Mix1_181201_10dpf_tank25_1010_plate40_e01	0	0	0	0						265	20	6	8760.194	0	0	55	43447	8.9577778	8289	104	48	2	0	167469	6203	6337	102	20	27	1	1059261	58926	89	144	119	46	0			4053.6757	0	931909.18	1294055.8	0	158	74308	11360	63.672616	78.16427	10	1	OB_POP1	insH2B_lfabp	1	0	0	25	21	0	0	1	1	0	0	2	2	0					1	7.98		-59.32026	-30786.85	-13823.87									21.48632	656.2429	-.108972	37225.81	1364.155	2462.264	12.66387	-.9403959	146993	3376.742	6.254271	-11.03546	2.16584	-3.166231	-19.65785	-2948.259	14.1803	-14179.72	107.2375	-15.14362	-16190.53	-.9524583	-3.012633					-.7835004	-1.242943	-1.040096	2.18935	-.2872964	-.7688097	-.51804	.7303277	1.671428	1.982097	.9653194	-.1308436	-.0674763	-.386175	.1042979	-.6520375	-.0160175	-1.00834	.1962117	-1.658472	.6901737	-1.648988	.544057	-1.400134
1248	.18640867	.20743034	.4723839	.53869969	.8425	.9375	.36283828	.4290429	OB_Mix1_181201_10dpf_tank25_1010_plate40_f01	0	0	0	0						266	21	6	8760.194	11.027133	0	37	25776	11.225	12158	158	48	2	3	175208	6489	5946	88	27	27	1	870408	64287	89	132	105	59	0			4326.3654	0	1006258.5	1351507.6	0	141	99124	13872	66.412692	81.510017	10	1	OB_POP1	insH2B_lfabp	1	0	0	25	21	0	0	1	1	0	0	1	1	0						3.8851525		213.3695	-63924.32	-104164.8									3.486322	-17014.76	-.108972	44964.81	1650.155	2071.264	-1.336125	6.059604	-41860	8737.742	6.254271	-23.03546	-11.83416	9.833769	34.34215	920.7415	-2.819698	10636.28	2619.238	-14.2926	-20129.26	1.314764	1.053365					.3149788	-.644202	-.8105683	.923867	-1.832486	-.2460512	-.51804	.9199576	1.836755	1.835338	-.338461	1.836755	-.6995999	.0277669	.1042979	-1.287032	-.9889579	.7303277	.6271582	-.0871459	.4320262	-.2658324	1.017781	-1.363248
1249	.66	1	2	2	1.66	2	.66	1	OB_Mix1_181201_10dpf_tank25_1010_plate40_g01	0	0	0	0						267	22	6	8760.194	7.634169	0	54	44226	9.9414444	10781	234	48	2	1	157567	4775	3721	99	23	33	1	872059	61199	80	139	114	58	0			3917.1523	0	928290.41	1258914.8	0	198	90600	18896	116.72529	149.6797	10	1	OB_POP1	insH2B_lfabp	1	0	0	25	21	1	1	0	0	0	0	.66	1		1			0		6.98		-195.8436	19408.16	25028.26									20.48632	1435.243	5.891028	27323.81	-63.84542	-153.7357	9.663875	2.059604	-40209	5649.742	-2.74573	-16.03546	-2.83416	8.833769	110.3421	-456.2585	54.1803	2112.284	7643.237	-2.469424	-14648.63	.0312083	-1.929034					-1.373991	-1.258162	-1.379912	2.073828	-.1968447	-.5352507	.3648949	.5271329	.2476355	.3479895	.6919655	.8181891	-.6794774	-.1794365	-.6770054	-.8893744	-.3642719	.6063177	1.060562	-.512454	1.270333	-.654565	1.771442	.4164868
1250	0	0	1.32	2	2	2	.66	1	OB_Mix1_181201_10dpf_tank25_1010_plate40_h01	0	0	0	0						268	23	6	8927.453	12.723615	0	43	36704	7.6953556	11022	168	48	2	0	126848	5285	3663	109	28	24	1	775257	48559	86	138	90	50	0			4147.9414	0	983319.7	1269980.5	0	185	92243	13856	118.4687	138.11251	10	1	OB_POP1	insH2B_lfabp	1	0	0	25	21	0	0	0	0	0	0	1	1	0		1		0		4.98		34.9455	-16533.31	-88989.47									9.486321	-6086.757	-3.108972	-3395.192	446.1546	-211.7357	19.66388	7.059604	-137011	-6990.258	3.25427	-17.03546	-26.83416	.8337685	44.34215	-215.2585	41.1803	3755.284	2603.238	5.804953	-13778.68	-2.124017	-2.99578					-.4117051	-.8366706	-1.229859	1.488922	-.7676836	-1.140883	-1.00834	-.4033254	.8747619	.3103049	1.625289	1.983437	-.9952385	-1.07663	-.1487015	-.9442382	-1.89943	-.4865429	.665774	-.4345503	1.066674	-.5941558	.994225	.4713459
1255	0	0	1	1	2	2	0	0	OB_Mix1_181201_10dpf_tank25_1150_plate40_c02	0	0	0	0									8338.332	56.832147	0	32	50835	11.807067	11938	0	48	3.5	3	136196	4864	2984	74	15	28	1	1144398	67463	90	153	146	39	1			3746.8761	15	1075643.3	1474665.5	25	87	114186	9580	121.73921	155.3552	10	1	OB_POP1	insH2B_lfabp	1	0	0	25	21	0	0	1	1	0	0	.66	1	0		1	0			4.66		-21.66097	52112.55	110074.9									-1.513678	8044.243	.891028	5952.808	25.15458	-890.7357	-15.33613	-5.940396	232130	11913.74	7.254271	-2.035461	29.16584	-10.16623	-123.6579	700.7415	-56.8197	25698.28	-1672.762	-.6599628	8744.266	1.667654	1.933085					-1.815517	-.150265	-.1609166	.4350969	.3630594	-.0865434	-.3228149	-.1553032	.3976995	-.5920793	-1.504347	-1.795619	.1713812	.2198996	.1893222	-.2302579	1.438967	-1.794178	-2.286548	-.1714259	-.3214421	.1353296	.2074044	.611186
1049	0	0	2	2	1.66	2	1.66	2	OB_Mix1_181201_10dpf_tank25_1150_plate40_d02	0	0	0	0						271	26	6	9453.164	0	0	23	43114	11.619644	10284	108	48	3.5	1	112872	5131	3533	87	23	22	1	839614	52864	79	150	122	45	1			4054.1294	0	922757.57	1279610.6	0	181	77087	12956	91.302819	94.539668	10	1	OB_POP1	insH2B_lfabp	1	0	0	25	21	1	1	0	0	0	0	0	0		1			0	0	6.32		-58.86655	-40117.3	-28514.96									-10.51368	323.2429	-5.108972	-17371.19	292.1546	-341.7357	-2.336125	2.059604	-72654	-2685.258	-3.74573	-5.03546	5.16584	-4.166232	-15.65785	-953.2585	37.1803	-11400.72	1703.238	3.240831	7889.403	2.085864	3.178884					-.7693818	-1.356312	-1.116508	-.8703174	-.3123467	-.1737411	-1.369362	-.838235	.6621323	.1553032	-.4365185	.8181891	-.7939661	-.8842111	-.7599502	-.3900689	.1083248	-1.15807	.2461637	-.6701255	1.035826	-1.547208	.8630645	-.3704487
1256	0	0	1	1	1	1	1	1	OB_Mix1_181201_10dpf_tank25_1150_plate40_e02	0	0	0	0						272	27	6	8950.112	0	0	44	40929	5.9898889	8176	38	48	3.5	0	98601	5190	3527	88	25	19	1	540079	37696	63	159	73	49	0			3906.0698	0	898173.83	1237740.5	0	130	67605	9466	110.05433	112.6599	10	1	OB_POP1	insH2B_lfabp	1	0	0	25	21	.14626016	.1504065	.15408602	.15591398	0	0	.59558583	.60762943							3.895932		-206.9262	-6339.988	9860.466									10.48632	-1861.757	-8.108972	-31642.19	351.1546	-347.7357	-1.336125	4.059604	-372189	-17853.26	-19.74573	3.964539	-43.83416	-.1662315	-85.65785	-3061.259	-13.8197	-20882.72	-1786.762	11.76144	-10316.58	-3.817174	-4.790329					-1.410699	-1.852954	-1.569733	1.579219	-.4321876	-1.760224	-1.982097	-1.265489	.7327312	.1472795	-.338461	1.529329	-1.755851	-1.835338	-2.106698	.0841875	-2.284124	-.5873599	-.2822162	-1.780464	.2916709	-2.087675	.1856857	.273196
1257	0	0	1	1	1.66	2	0	0	OB_Mix1_181201_10dpf_tank25_1150_plate40_f02	0	0	0	0						273	28	6	8950.112	0	0	36	53646	10.714333	10153	137	48	3.5	0	93041	2908	2633	73	20	32	1	899531	57098	75	194	105	50	0			4044.3061	0	984785.16	1355246	0	198	94939	17265	175.82832	199.14391	10	1	OB_POP1	insH2B_lfabp	1	0	0	25	21	1	1	0	0	0	0	0	0				0	0	0	3.66		-68.68983	25782.36	52444.45									2.486322	10855.24	4.891028	-37202.19	-1930.845	-1241.736	-16.33612	-.9403959	-12737	1548.742	-7.745729	38.96454	-11.83416	.8337685	13.34215	-1084.259	54.1803	6451.284	6012.237	28.70551	8503.648	.9072701	.7335722					-.8366706	-.8073854	-.790943	.7916386	.5679577	-.4292908	.2361824	-1.515101	-2.95226	-1.265489	-1.655655	-.1308436	-.5732791	-.5546795	-1.070609	1.510208	-.9889579	-.4865429	.4192958	-.7882413	1.270333	-.4320262	1.596032	2.087675
1258	0	0	0	0	1	1	.66	1	OB_Mix1_181201_10dpf_tank25_1150_plate40_g02	0	0	0	0						274	29	6	8195.535	0	0	37	34216	8.6144	9438	76	48	3.5	1	156159	4462	5258	70	18	35	1	1024664	58655	102	126	98	75	0			4015.705	0	940343.02	1245247.2	0	113	86606	8733	146.88696	177.01106	10	1	OB_POP1	insH2B_lfabp	1	0	0	25	21	0	0	1	1	0	0	0	0	0	0				0	2.66		-97.2909	-7386.021	-42053.09									3.486322	-8574.757	7.891028	25915.81	-376.8454	1383.264	-19.33612	-2.940396	112396	3105.742	19.25427	-29.03546	-18.83416	25.83377	-47.65785	-1799.259	-30.8197	-1881.716	-2519.762	12.26063	-11689.26	-1.602587	-1.82762					-.9508773	-1.170831	-1.522671	.923867	-.9652993	-.890792	.6303264	.4820832	-.1428162	1.540585	-2.237762	-.7962831	-.1875036	-.4033254	1.099465	-1.590061	-1.427782	2.593745	.027855	-1.184763	-.056838	-.8126293	.0355121	1.294573
