barcode	arid5b_D	arid5b_G	mc4r_D	mc4r_G	negr1_D	negr1_G	pcsk1_D	pcsk1_G	filename_zebrafish	bin_liver	obj_liver	bin_beta	obj_beta	protein	ldl	tc	tg	gluc	Löpnr	pos_bio	batch_bio	area_insexpr	bld	bodyfat	N_beta_cells	beta_cell_volume	mean_mean_insexpr	LiverArea	NrofSpots	batch	tod	annotationquality_lipids	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	ROI_edge	AnnotationQuality_bc_moving	AnnotationQuality_bc_cut	length	Border_size_length	dorsal_area	lateral_area	Border_size_lateral	NrLipids	LiverRefinedArea	LipidArea	AverageLipidsIntensity	AverageLipidsBGIntensity	age	Imaged	Exp	line	energy	cholesterol	glucose	tank	n	lepr_D	lepr_G	pomca_D	pomca_G	pomcb_D	pomcb_G	sec16b_D	sec16b_G	lepr_homo	mc4r_homo	negr1_homo	pcsk1_homo	pomca_homo	sec16b_homo	score1	hdl	beta_cell_volume_Res2	mean_mean_insexpr_Res2	irs1_D	irs1_G	sh2b1_D	sh2b1_G	sim1b_D	sim1b_G	ExperimentName	bdnf_D	bdnf_G	irs2a_D	irs2a_G	irs2b_D	irs2b_G	sim1a_D	sim1a_G	irs1_homo	irs2b_homo	sh2b1_homo	sim1b_homo	score2	experiment	length_Res	dorsal_area_Res	lateral_area_Res	ldl_Res	tg_Res	tc_Res	gluc_Res	NrCells_Res1	Volume_Res1	CellVolume_Av_Res1	CellVolume_Stdev_Res1	CellInt_Av_Res1	CellInt_Stdev_Res1	IV_Res1	ISA_Res1	IED_Res1	IPAL1_Res1	IPAL2_Res1	IPAL3_Res1	LiverArea_Res1	NrofSpots_Res1	NrLipids_Res1	LiverRefinedArea_Res1	LipidArea_Res1	AverageLipidsIntensity_Res1	ldl_Res1	tg_Res1	tc_Res1	gluc_Res1	inttc	inttg	intgluc	intldl	intlength	intdorsal_area	intlateral_area	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3	intLiverArea	intNrofSpots	intNrLipids	intLiverRefinedArea	intLipidArea	intAverageLipidsIntensity
1303	0	0	1	1	0	0	0	0	"OB_Mix1_181103_10dpf_tank13_1000_plate25_c06"	0	0	0	0						100	2	3	12184.335	0	0	28	48440	11.351333	16626	1	45	2	0	148543	4951	4647	89	18	30	1	1125853	61174	85	142	138	53	0			4814.0037	0	1344419.6	1843810.4	0	54	137380	3914	118.75134	213.86971	10	1	"OB_POP1"	"insH2B_lfabp"	1	0	0	13	13	.14626016	.1504065	0	0	0	0	0	0			0	0	0	0	1.1462602		2231.372	-2.085827	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0	281.2037	35736.84	29605.66					-.1697162	-2740.303	15.37762	983.6931	-1.49696	-2.065623	-37625.09	-6936.784	-2.649187	-20.39906	12.48849	-.0702646	2214.813	-84.94177	-40.45673	12465.34	-2771.182	-22.7929									2.003889	1.454612	1.493578	-.4184298	-.2916299	.1593188	.983428	-.5013657	-.8115296	-.1976046	-.6279094	-.5157048	-1.041226	.6921335	-.2438786	.6950251	-1.911546	-.7312402	.669044	-.7312402	.4224771
1297	1	1	0	0	.8425	.9375	0	0	"OB_Mix1_181103_10dpf_tank13_1000_plate25_d05"	0	0	0	0						93	44	2	13016.014	429.20995	0	24	38402	10.555178	16891	70	45	2	6	148084	4231	3067	95	15	35	1	1086587	64491	82	184	127	49	0			4501.3427	0	1269591.7	1763898.3	0	59	135700	3986	98.060132	180.24206	10	1	"OB_POP1"	"insH2B_lfabp"	1	0	0	13	13	.14626016	.1504065	0	0	0	0	0	0		0		0	0	0	1.9887602		-4755.012	-2.084008	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0	-31.45728	84151.35	119149.9					4.830284	-3199.303	-704.6224	-596.3069	4.50304	-5.065623	-76891.09	-3619.784	-5.649187	21.60094	1.488492	-4.070264	2479.813	-15.94177	-35.45673	10785.34	-2699.182	-24.49753									.9115192	1.034099	1.17876	.2648315	-.3123865	-.7858387	-.7022237	.0059399	-1.846836	-.299917	-.379773	-.7691803	.870993	.0899286	-.7920287	.7573497	.077019	-.6496009	.6219411	-.6843429	-.203029
1304	1	1	0	0	0	0	0	0	"OB_Mix1_181103_10dpf_tank13_1000_plate25_d06"	0	0	0	0						101	3	3	11822.649	14.420097	0	31	58641	7.9141778	17360	10	45	2	0	148701	5128	4259	83	19	29	1	1227455	70621	100	155	125	53	0			4774.7481	9	1395261.8	1860767.8	7	32	152933	1818	86.475835	158.98892	10	1	"OB_POP1"	"insH2B_lfabp"	1	0	0	13	13	.14626016	.1504065	1	1	0	0	1	1		0	0	0			3.1462602		10143.66	-5.99597	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0	448.6234	-7007.436	5401.497					-1.169716	-2582.303	192.3776	595.6931	-7.49696	-1.065623	63976.91	2510.216	12.35081	-7.399059	-.5115079	-.0702646	2948.813	-75.94177	-62.45673	28018.34	-4867.182	-24.08205									1.814036	1.780881	1.572822	-.5662814	-.2833628	.3374742	.6794932	-1.049737	-.5036122	.113278	.041657	.7664961	-.388762	0	-.2438786	.8617718	-.8203695	-1.430527	1.108412	-1.529205	-.673399
1298	1	1	.66	1	.66	1	0	0	"OB_Mix1_181103_10dpf_tank13_1000_plate25_e05"	0	0	0	0						94	45	2	12717.367	0	0	30	56125	18.266111	10741	196	45	2	0	179122	4593	3499	98	20	39	1	1300097	77831	96	153	139	54	1			4347.8764	0	1107943.1	1551078.5	0	72	96299	4152	96.192602	152.84355	10	1	"OB_POP1"	"insH2B_lfabp"	1	0	0	13	13	.14626016	.1504065	0	0	0	0	1	1				0	0		3.4662602		8390.563	4.884327	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0	-184.9236	-17004.97	-10493.99					8.830284	27838.7	-342.6224	-164.3069	7.50304	-.0656226	136618.9	9720.217	8.350813	-9.399058	13.48849	.9297355	-3670.188	110.0582	-22.45673	-28615.66	-2533.182	-10.89553									.3042611	-.1112172	-.006992	.8524086	.4445492	-.2792366	-.1618442	.2296993	-.1630766	.3374742	.4754115	.4197869	-.5193694	.7464195	-.1059713	-.669133	.8944564	-.4396451	-.5639098	-.6261651	-.2673734
1305	1.66	2	.4723839	.53869969	.8425	.9375	0	0	"OB_Mix1_181103_10dpf_tank13_1000_plate25_e06"	0	0	0	0						102	4	3	11822.649	0	0	31	39072	12.234933	11118	60	45	2	0	149477	5749	3169	113	21	26	1	946010	62067	83	160	127	46	0			4332.7723	0	1118978.9	1556073	0	46	92231	3091	82.095807	140.22469	10	1	"OB_POP1"	"insH2B_lfabp"	1	0	0	13	13	.14626016	.1504065	0	0	0	0	1	1				0	0		4.4611441		-9425.341	-1.675215	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0	-200.0277	-15.58875	2686.651					-4.169716	-1806.303	813.3776	-494.3069	22.50304	.9343774	-217468.1	-6043.784	-4.649187	-2.399059	1.488492	-7.070264	-3293.188	-25.94177	-48.45673	-32683.66	-3594.182	-17.86756									.2614885	-.0290318	.0244744	-1.035077	-.2341437	1.059094	-.5543124	1.450499	.1550559	-.7538332	-.5385609	-.6883569	-.1039646	.0899286	-1.227206	-.533841	.0102592	-.9936602	-.7727554	-.9490803	-.8500733
1299	0	0	0	0	0	0	2	2	"OB_Mix1_181103_10dpf_tank13_1000_plate25_f05"	0	0	0	0						95	46	2	12717.367	0	0	32	56319	14.492689	15939	231	45	2	0	130856	4362	1785	88	17	30	1	1205797	67709	102	178	120	43	0			4229.554	0	1071037.6	1507922.4	0	127	114507	7558	98.373143	127.70788	10	1	"OB_POP1"	"insH2B_lfabp"	1	0	0	13	13	1	1	0	0	0	0	2	2		0	0	1	0	1	5		7058.755	.9110412	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0	-303.246	-7271.057	10478.39					-.1697162	-20427.3	-573.6224	-1878.307	-2.49696	-3.065623	42318.91	-401.7837	14.35081	15.60094	-5.511508	-10.07026	1527.813	145.0582	32.54327	-10407.66	872.8177	5.476913									-.1912105	-.4052604	-.2436119	-.4184298	-.7697374	-.6230863	-3.15823	-.5957491	-1.102735	.0495976	-.165347	.9328892	.6570535	-.2893769	-1.725736	.5576543	1.13475	.3754163	.0139068	.01043	-.188853
1098	0	0	.66	1	.66	1	0	0	"OB_Mix1_181103_10dpf_tank13_1000_plate25_g05"	0	0	0	0						96	47	2	12717.367	0	0	32	45904	18.918378	17747	8	45	2	0	148743	5721	3815	93	20	26	1	1113524	62689	81	181	136	55	0								118	149768	12425	148.51459	172.98954	10	1	"OB_POP1"	"insH2B_lfabp"	1	0	0	13	13	.14626016	.1504065	0	0	0	0	0	0				0	0	0	1.4662602		-3356.245	5.33673	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0								-4.169716	-2540.303	785.3776	151.6931	2.50304	-.0656226	-49954.09	-5421.784	-6.649187	18.60094	10.48849	1.929735	3335.813	-77.94177	23.54327	24853.34	5739.818	30.05178												-1.035077	-.275115	1.024965	.2430889	-.17915	-.1630766	-.2463908	-.4932507	-.8727944	.7623354	.5820848	.0419225	.9656031	-.9360457	.244024	.9993722	.8752927	1.318788
1099	0	0	0	0	.8425	.9375	.36283828	.4290429	"OB_Mix1_181103_10dpf_tank13_1000_plate25_h05"	0	0	0	0						97	48	2	12717.367	0	0	32	50389	9.7107333	12125	3	45	2	9	153155	4376	3306	93	21	35	1	1200006	71377	98	156	141	47	0			4555.8659	2	1196169.4	1642056.3	0	82	114056	7460	156.73241	170.13411	10	1	"OB_POP1"	"insH2B_lfabp"	1	0	0	13	13	0	0	0	0	0	0	1	1	0	0			0		2.2053383		1128.755	-3.870914	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0	68.99379	-34998.01	-32242.66					4.830284	1871.697	-559.6224	-357.3069	2.50304	.9343774	36527.91	3266.216	10.35081	-6.399059	15.48849	-6.070264	-2286.188	-82.94177	-12.45673	-10858.66	774.8177	39.88182									1.137177	.5588058	.5715263	.2648315	-.141268	-.5991833	-.3831787	-.17915	.1550559	.0178488	.0774179	.5878711	-.333372	.8768405	-1.058541	-.2487592	-1.401776	-.2836234	-.0034766	-.01043	1.507192
1308	0	0	0	0	.66	1	0	0	"OB_Mix1_181103_10dpf_tank14_1200_plate26_a07"	0	0	0	0						103	5	3	11732.229	0	0	27	50068	8.0224222	17994	73	45	4	0	103970	3851	3605	70	22	27	1	1058759	56503	78	189	108	47	1			4440.0222	14	1281434.9	1820213.6	9	179	156388	11614	123.49895	164.2081	10	1	"OB_POP1"	"insH2B_lfabp"	1	0	0	14	14	.14626016	.1504065	0	0	0	0	0	0		0		0	0	0	.80626016		3823.596	-3.549388	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0	170.6582	-53857.2	118053.4					-3.283495	-43029.21	-829.3673	-14.46376	-19.53578	1.512898	-88220.23	-10324.88	-9.649187	26.65369	-14.0223	-6.449414	2826.779	11.69022	90.06015	22228.91	5498.555	11.38266									.6723418	1.119463	1.432425	-.8524086	-1.449665	-1.427343	-.0358166	-2.191218	.4635503	-.3712611	-.9663666	-1.111513	1.173873	-.9845589	-1.058541	.9988409	.0993339	1.111631	1.217797	.7449356	.6051546
1315	.18640867	.20743034	1	1	.8425	.9375	.36283828	.4290429	"OB_Mix1_181103_10dpf_tank14_1200_plate26_a08"	0	0	0	0						111	13	3	16100.702	0	1	27	51706	7.1880444	12872	3	45	4	9	148649	4018	3050	80	21	37	1	1376491	71401	106	168	112	60	0			4459.1277	0	1189290.8	1633921.5	0	52	109923	3750	120.80294	157.06597	10	1	"OB_POP1"	"insH2B_lfabp"	1	0	0	14	14	0	0	0	0	0	0	0	0	0				0	0	2.4127686		5461.596	-2.291939	0	0	0	0	0	0	""	0	0	0	0	0	0	0	0		0	0	0	0	0	-131.7313	16116.73	1683.073					6.716505	1649.792	-662.3673	-569.4637	-9.535777	.5128983	229511.8	4573.116	18.35081	5.65369	-10.0223	6.550586	-2295.221	-58.30978	-36.93985	-24236.09	-2365.445	12.71918									.7654744	.4921465	.50286	.5686108	-.2874939	-1.161956	-.7383242	-1.326017	.1550559	.5850051	.0813966	1.315929	.2644914	-.7280867	.7280867	-.1165325	-1.401776	-.8035851	-.1219828	-.7727554	.488042
