barcode	irs1_D	irs1_G	sh2b1_D	sh2b1_G	sim1b_D	sim1b_G	filename_zebrafish	bin_liver	obj_liver	bin_beta	obj_beta	protein	ldl	tc	tg	gluc	Löpnr	pos_bio	batch_bio	area_insexpr	bld	bodyfat	N_beta_cells	beta_cell_volume	mean_mean_insexpr	LiverArea	NrofSpots	batch	tod	annotationquality_lipids	ExperimentName	Volume	CellVolume_Av	CellVolume_Stdev	CellInt_Av	CellInt_Stdev	NrCells	isletNr	IV	ISA	IED	IPAL1	IPAL2	IPAL3	ROI_edge	AnnotationQuality_bc_moving	AnnotationQuality_bc_cut	length	Border_size_length	dorsal_area	lateral_area	Border_size_lateral	NrLipids	LiverRefinedArea	LipidArea	AverageLipidsIntensity	AverageLipidsBGIntensity	age	Imaged	Exp	line	energy	cholesterol	glucose	tank	bdnf_D	bdnf_G	irs2a_D	irs2a_G	irs2b_D	irs2b_G	sim1a_D	sim1a_G	irs1_homo	irs2b_homo	sh2b1_homo	sim1b_homo	score2	length_Res	dorsal_area_Res	lateral_area_Res	tc_Res	tg_Res	gluc_Res	ldl_Res	tc_Res1	tg_Res1	gluc_Res1	ldl_Res1	N_beta_cells_Res1	beta_cell_volume_Res1	NrCells_Res1	Volume_Res1	CellVolume_Av_Res1	CellVolume_Stdev_Res1	CellInt_Av_Res1	CellInt_Stdev_Res1	IV_Res1	ISA_Res1	IED_Res1	IPAL1_Res1	IPAL2_Res1	IPAL3_Res1	NrofSpots_Res1	LiverArea_Res1	NrLipids_Res1	LiverRefinedArea_Res1	LipidArea_Res1	AverageLipidsIntensity_Res1	beta_cell_volume_Res2	mean_mean_insexpr_Res1	mean_mean_insexpr_Res2	inttc	inttg	intgluc	intldl	intlength	intdorsal_area	intlateral_area	intN_beta_cells	intbeta_cell_volume	intmean_mean_insexpr	intNrCells	intVolume	intCellVolume_Av	intCellVolume_Stdev	intCellInt_Av	intCellInt_Stdev	intIV	intISA	intIED	intIPAL1	intIPAL2	intIPAL3	intNrofSpots	intLiverArea	intNrLipids	intLiverRefinedArea	intLipidArea	intAverageLipidsIntensity
1219	1.563765	1.811765	1	1	2	2	OB_Mix2_181114_10dpf_tank02_1100_plate03_c05	0	0	0	0						229	33	5	13951.06	45.805014	0	25	28851	18.950178	16778	14	56	2.5	6	OB_POP2_1100_plate03_c05	148989	4966	3587	104	21	30	1	1003805	63758	80	186	114	60	0			4420.54	0	1129566	1596567	0	115	131144	10975	132.14712	145.57241	10	1	OB_POP2	insH2B_lfabp	1	0	0	12	.11111111	.11111111	1	1	0	0	0	0		0		1	5.674876	33.54816	-43422.93	-45019.42									-6.879552	-19607.16	-5.744851	-51387.85	-632.2972	-556.84	2.374009	-.2079095	-335393.2	-14067.55	-13.67703	12.07393	-18.25137	4.294003	-32.57873	1301.2	27.60377	561.6193	5100.918	29.84574	-11084.22	-4.468422	-2.770389					.5961496	-.0569997	.242724	-.7916386	-1.622194	-.4438613	-.8959993	-.8609955	-.1116372	-.3630594	.468761	.1232631	-.9079133	-.9952385	-1.369362	.8438841	-.9199576	.6206801	-.5121028	.750285	.38019	.5080575	.7764218	.8425922
1228	1.563765	1.811765	1	1	2	2	OB_Mix2_181114_10dpf_tank02_1100_plate03_c06	0	0	0	0						237	41	5	13118.16	26.295471	0	32	31234	18.344178	14976	41	56	2.5	3	OB_POP2_1100_plate03_c06	185939	4893	3816	95	19	38	1	1237487	81459	94	156	138	60	0			4227.697	0	1154987	1636583	0	95	130666	6902	91.447119	183.1253	10	1	OB_POP2	insH2B_lfabp	1	0	0	12	0	0	1.66	2	1	1	0	0				1	7.223765	-159.2946	55673.9	103833.3									.1204476	-17224.16	2.255149	-14437.85	-705.2972	-327.84	-6.625991	-2.20791	-101711.2	3633.445	.3229709	-17.92607	5.748629	4.294003	-5.57873	-500.7995	7.603773	83.61935	1027.918	-23.93696	-16346.67	-5.796519	-5.996444					-.3292913	.2333263	.5561882	.2369463	-1.337828	-.5706248	.4205953	.1875036	-.2328563	.0359307	-.3522063	-.522581	-.1875036	.3606589	.0158654	-.6400318	.4643387	.6206801	-.0739895	.3071711	.1160553	.4696754	.0442892	-.6034706
1021	1.563765	1.811765	1.66	2	2	2	OB_Mix2_181114_10dpf_tank02_1100_plate03_d05	0	0	0	0						230	34	5	13951.06	52.590942	0	21	55493	11.121844	7826	13	56	2.5	1	OB_POP2_1100_plate03_d05	141569	5445	5941	82	22	26	1	1257244	63948	87	193	109	54	0				27	995641.5		44						10	1	OB_POP2	insH2B_lfabp	1	0	0	12	0	0	1.66	2	1	1	0	0				1	7.883765												-10.87955	7034.84	-9.744851	-58807.85	-153.2972	1797.16	-19.62599	.7920905	-81954.2	-13877.55	-6.677029	19.07393	-23.25137	-1.705996	-33.57873	-7650.799					19926.6	-12.29676	-9.463806						-1.394716		-1.476974	.6472652	-1.718451	-1.540585	-1.062575	.4482563	1.925714	-1.379562	.4467393	-.0833864	-.9695347	-.6206801	1.205921	-1.181657	-.2036749	-.539108	-2.110067				
1028	2	2	0	0	1	1	OB_Mix2_181114_10dpf_tank02_1100_plate03_d06	0	0	0	0						238	42	5	13118.16	52.590942	1	35	47280	29.743444	18930	12	56	2.5	0	OB_POP2_1100_plate03_d06	221979	5999	5421	95	25	37	1	1572888	82356	110	178	134	53	0			4533.993	0	1264687	1720742	0	75	152478	5610	133.12937	181.11691	10	1	OB_POP2	insH2B_lfabp	1	0	0	12	0	0	1	1	0	0	0	0	1	0	0		4	147.0008	48353.29	15124.95									3.120448	-1178.16	1.255149	21602.15	400.7028	1277.16	-6.625991	3.79209	233689.8	4530.445	16.32297	4.07393	1.748628	-2.705997	-34.57873	3453.2	-12.39623	21895.62	-264.082	18.44498	-3577.285	5.602747	4.551636					1.05154	1.25019	1.179106	.6084982	-.0079576	1.337828	.260726	1.090901	1.179761	1.463568	-.3522063	1.189667	.9321368	.4205953	1.553712	.4731924	.2280334	-.3437788	-.5783873	1.226956	-.2972124	1.170381	-.2512376	.8523466
1220	1.563765	1.811765	1.018702	1.168142	2	2	OB_Mix2_181114_10dpf_tank02_1100_plate03_e05	0	0	0	0						231	35	5	13951.06	0	0				19491	31	56	2.5	0	OB_POP2_1100_plate03_e05							1							0		1	4012.177	16	1217075	1667777	26	98	150891	6817	115.68777	200.3474	10	1	OB_POP2	insH2B_lfabp	1	0	0	12	.11111111	.11111111	1	1	1	1	0	0				1	6.693578	-4.410738	30456.85	49703.9																							-15.57873	4014.2	10.60377	20308.62	942.918	-5.696151								-1.239788	.7975465	.798367																-.1858697	1.429659	.1469745	1.105318	.0170295	.2512376
1229	2	2	1.018702	1.168142	2	2	OB_Mix2_181114_10dpf_tank02_1100_plate03_e06	0	0	0	0						239	43	5	13118.16	0	0	26	43772	19.602956	14621	139	56	2.5	0	OB_POP2_1100_plate03_e06	165584	5519	3741	95	22	30	1	1007664	69166	82	161	129	53	0			4140.552	0	1041669	1448018	0	96	112026	6237	126.88171	162.28912	10	1	OB_POP2	insH2B_lfabp	1	0	0	12	.11111111	.11111111	2	2	1	1	0	0	1			1	8.129813	-246.4401	-24350.54	-35548.49									-5.879552	-4686.16	-5.744851	-34792.85	-79.29723	-402.84	-6.625991	.7920905	-331534.2	-8659.555	-11.67703	-12.92607	-3.251371	-2.705997	92.42127	-855.7996	8.603773	-18556.38	362.918	18.75655	2744.569	-4.537742	-3.035293					-.835874	-.9135324	-.770344	-.6472652	-.3071488	-.3406948	-.8959993	-.3353756	.5989498	-.0679067	-.3522063	.4467393	-.8959993	-.51804	-1.127589	-.3019919	-.0118988	-.3437788	.6145166	.2374181	.1297817	-.1953631	-.1263479	.6702203
1221	2	2	1	1	2	2	OB_Mix2_181114_10dpf_tank02_1100_plate03_f05	0	0	0	0						232	36	5	13765.97	0	0				10215	146	56	2.5	1	OB_POP2_1100_plate03_f05							1							1		1	4529.723	0	1070918	1508790	0	110	86435	4701	107.12383	132.20793	10	1	OB_POP2	insH2B_lfabp	1	0	0	12	0	0	1	1	0	0	0	0	1	0		1	6	142.7313	-143784.4	-194418																							99.42127	-5261.799	22.60377	-44147.38	-1173.082	9.478372								1.039898	-.6577556	-.4471115																.6308324	-1.089033	.2830038	-1.240816	-.5158227	-.0170295
1230	1.563765	1.811765	1.018702	1.168142	1	1	OB_Mix2_181114_10dpf_tank02_1100_plate03_f06	0	0	0	0						240	44	5	31534.48	13.571856	0	34	51074	12.240244	15133	44	56	2.5	0	OB_POP2_1100_plate03_f06	259563	6831	4961	85	18	38	1	1825939	95629	120	185	142	59	0			4480.111	0	1173021	1607753	0	53	121489	3042	117.4586	190.24992	10	1	OB_POP2	insH2B_lfabp	1	0	0	12	0	0	1	1	1	1	0	0					5.582467	93.11945	-22726.94	-67455.07									2.120448	2615.84	2.255149	59186.15	1232.703	817.16	-16.62599	-3.20791	486740.8	17803.45	26.32297	11.07393	9.748629	3.294003	-2.57873	-343.7995	-34.39623	-9093.381	-2832.082	-.4075544	1308.921	4.065847	1.349514					.8698021	.3954465	.3141269	.4703636	.3238762	-1.538979	.4205953	1.879864	1.792731	1.227206	-1.173722	-.8270162	1.594789	1.339587	2.412978	.7777628	.6794774	.4954916	-.026884	.3497297	-.700371	.133217	-.9126759	.3222245
1222	1.563765	1.811765	1.66	2	2	2	OB_Mix2_181114_10dpf_tank02_1100_plate03_g05	0	0	0	0						233	37	5	13765.97	12.723615	0	27	39235	24.159489	17923	30	56	2.5	3	OB_POP2_1100_plate03_g05	194731	5263	3698	122	19	37	1	1221713	78935	84	208	139	51	0			4405.4	0	1192670	1672502	0	135	138802	8106	130.65948	184.42702	10	1	OB_POP2	insH2B_lfabp	1	0	0	12	0	0	1.66	2	0	0	1	1		0		1	7.883765	18.40802	25465.61	39459.89									-4.879552	-9223.16	1.255149	-5645.848	-335.2972	-445.84	20.37401	-2.20791	-117485.2	1109.445	-9.677029	34.07393	6.748629	-4.705997	-16.57873	2446.2	47.60377	8219.619	2231.918	14.82191	-2884.637	.5804189	1.730583					.4944793	.5766571	.8270316	-.4972006	-.6870306	.4438613	.260726	.4467393	.2410404	-.1401582	1.903602	-.522581	-.2361824	.2117803	-.9759002	1.669912	.51804	-.6744897	-.202991	1.041622	.6323259	.70473	.2023106	.8043486
1231	2	2	1	1	2	2	OB_Mix2_181114_10dpf_tank02_1100_plate03_g06	0	0	0	0						241	45	5	14321.24	28.840194	0	37	56096	25.151956	15993	7	56	2.5	0	OB_POP2_1100_plate03_g06	220541	5012	3214	99	19	44	1	1604423	89877	107	190	117	58	0			4617.814	4	1220424	1685870	0	21	139681	1394	101.11923	193.99876	10	1	OB_POP2	insH2B_lfabp	1	0	0	12	0	0	1.66	2	0	0	0	0	1	0		1	6.66	323.4236	-70344.55	-67054.34									5.120448	7637.84	8.255149	20164.15	-586.2972	-929.84	-2.625991	-2.20791	265224.8	12051.45	13.32297	16.07393	-15.25137	2.294003	-39.57873	516.2004	-66.39622	9098.619	-4480.082	-18.05295	3054.303	2.054286	.3083979					1.48669	.8541026	.9385824	.9299809	.6971414	.6374841	1.214168	1.07663	-.0557317	-.7570088	-.0198322	-.522581	1.062575	.9321368	1.256704	1.083738	-.8103805	.386175	-.8425792	.57442	-1.790525	.758136	-1.726602	-.1745757
